epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4135,1.3113,1.3075,0.4849,1.4540,1.3681,0.0010000,322,,,
2,0.5042,1.4927,1.2837,0.4957,1.4253,1.3508,0.0010000,637,,,
3,0.5461,1.0893,1.0753,0.5183,1.3787,1.3243,0.0010000,951,,,
4,0.5775,1.1313,1.0122,0.5366,1.3291,1.2938,0.0010000,1266,,,
5,0.6103,1.1480,1.0609,0.5579,1.2717,1.2553,0.0010000,1579,,,
6,0.6425,1.0066,0.9684,0.5805,1.2081,1.2091,0.0010000,1891,,,
7,0.6545,1.2345,0.9948,0.6071,1.1340,1.1556,0.0010000,2202,,,
8,0.6745,1.0868,0.8927,0.6376,1.0516,1.0890,0.0010000,2513,,,
9,0.6907,0.7643,0.7166,0.6722,0.9630,1.0119,0.0010000,2822,,,
10,0.6935,0.7027,0.7208,0.6998,0.8835,0.9329,0.0010000,3210,0.7031,0.8820,0.9333
11,0.7086,0.7146,0.6795,0.7224,0.8125,0.8530,0.0010000,3517,,,
12,0.7082,0.9854,0.9734,0.7426,0.7551,0.7952,0.0010000,3823,,,
13,0.7114,0.7859,0.7097,0.7604,0.7092,0.7485,0.0010000,4129,,,
14,0.7303,0.8506,0.8006,0.7736,0.6713,0.7086,0.0010000,4434,,,
15,0.7322,1.1871,0.9015,0.7825,0.6413,0.6749,0.0010000,4738,,,
16,0.7503,0.6371,0.6641,0.7914,0.6187,0.6527,0.0007386,5042,,,
17,0.7537,0.7524,0.6557,0.7963,0.5981,0.6291,0.0007386,5346,,,
18,0.7580,0.5265,0.5780,0.8039,0.5779,0.6108,0.0007386,5650,,,
19,0.7584,0.6466,0.6477,0.8086,0.5649,0.5962,0.0007386,5954,,,
20,0.7704,0.8175,0.6070,0.8138,0.5492,0.5803,0.0007386,6336,0.8133,0.5604,0.5878
21,0.7674,0.4321,0.4380,0.8161,0.5402,0.5683,0.0007386,6640,,,
22,0.7680,0.5972,0.6786,0.8199,0.5286,0.5543,0.0007386,6942,,,
23,0.7721,0.4507,0.4848,0.8253,0.5176,0.5436,0.0007386,7245,,,
24,0.7747,0.5949,0.5882,0.8287,0.5073,0.5342,0.0007386,7548,,,
25,0.7811,0.5006,0.5432,0.8315,0.4972,0.5250,0.0007386,7850,,,
26,0.7814,0.3744,0.4392,0.8344,0.4914,0.5169,0.0007386,8153,,,
27,0.7826,0.8647,0.7906,0.8350,0.4851,0.5103,0.0007386,8455,,,
28,0.7823,0.5571,0.5422,0.8375,0.4828,0.5063,0.0007386,8757,,,
29,0.7798,0.7344,0.7137,0.8397,0.4764,0.5002,0.0007386,9058,,,
30,0.7911,0.5548,0.5673,0.8422,0.4724,0.4947,0.0007386,9439,0.8389,0.4865,0.5043
31,0.8017,0.7496,0.5967,0.8455,0.4670,0.4892,0.0005455,9740,,,
32,0.7982,0.5027,0.4448,0.8447,0.4622,0.4845,0.0005455,10041,,,
33,0.7984,0.7804,0.6167,0.8452,0.4597,0.4804,0.0005455,10343,,,
34,0.8084,0.3900,0.4776,0.8465,0.4545,0.4758,0.0005455,10644,,,
35,0.8042,0.5235,0.4905,0.8489,0.4513,0.4730,0.0005455,10945,,,
36,0.8089,0.5082,0.5691,0.8510,0.4441,0.4679,0.0005455,11247,,,
37,0.8102,0.4644,0.4987,0.8526,0.4410,0.4648,0.0005455,11548,,,
38,0.8066,0.6512,0.5906,0.8519,0.4374,0.4604,0.0005455,11850,,,
39,0.8077,0.6500,0.4841,0.8535,0.4367,0.4574,0.0005455,12151,,,
40,0.8148,0.6467,0.5814,0.8546,0.4337,0.4549,0.0005455,12532,0.8497,0.4530,0.4680
41,0.8079,0.3986,0.3893,0.8537,0.4321,0.4534,0.0005455,12833,,,
42,0.8173,0.3902,0.4358,0.8581,0.4268,0.4494,0.0005455,13134,,,
43,0.8142,0.6506,0.4865,0.8615,0.4216,0.4454,0.0005455,13435,,,
