epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.0707,3.9970,1.9335,0.0999,3.9517,1.9294,0.0010000,341,,,
2,0.1340,3.6948,1.8834,0.1125,3.8855,1.9240,0.0010000,678,,,
3,0.1814,3.4509,1.8608,0.1299,3.7990,1.9165,0.0010000,1015,,,
4,0.2290,3.2967,1.7824,0.1479,3.6943,1.9059,0.0010000,1350,,,
5,0.2506,2.9722,1.6950,0.1685,3.5774,1.8928,0.0010000,1683,,,
6,0.2804,3.1836,1.7672,0.1912,3.4459,1.8750,0.0010000,2014,,,
7,0.2888,2.5980,1.5595,0.2208,3.2950,1.8504,0.0010000,2342,,,
8,0.3060,2.9555,1.7101,0.2506,3.1278,1.8153,0.0010000,2669,,,
9,0.3157,2.9901,1.6822,0.2852,2.9355,1.7664,0.0010000,2993,,,
10,0.3388,2.3527,1.5840,0.3259,2.7295,1.7054,0.0010000,3356,0.3147,2.7385,1.7093
11,0.3432,2.7777,1.6446,0.3579,2.5444,1.6359,0.0010000,3678,,,
12,0.3551,2.2562,1.5222,0.3829,2.4097,1.5853,0.0010000,3999,,,
13,0.3741,2.4496,1.5066,0.4033,2.3068,1.5453,0.0010000,4318,,,
14,0.3901,2.3466,1.4674,0.4231,2.2158,1.5094,0.0010000,4636,,,
15,0.3844,2.5508,1.5115,0.4402,2.1437,1.4785,0.0010000,4953,,,
16,0.4106,2.2426,1.4461,0.4480,2.0826,1.4490,0.0007386,5270,,,
17,0.4232,1.9267,1.3480,0.4630,2.0262,1.4232,0.0007386,5587,,,
18,0.4262,2.0435,1.3540,0.4746,1.9692,1.3961,0.0007386,5904,,,
19,0.4347,1.8729,1.3170,0.4902,1.9212,1.3714,0.0007386,6220,,,
20,0.4443,2.1916,1.4598,0.4942,1.8820,1.3485,0.0007386,6576,0.4980,1.8609,1.3471
21,0.4470,2.3443,1.4074,0.5034,1.8440,1.3256,0.0007386,6891,,,
22,0.4556,1.9508,1.3137,0.5106,1.8112,1.3063,0.0007386,7206,,,
23,0.4467,2.0062,1.3761,0.5202,1.7824,1.2883,0.0007386,7521,,,
24,0.4544,1.7408,1.3111,0.5274,1.7565,1.2741,0.0007386,7836,,,
25,0.4699,1.4710,1.2350,0.5314,1.7365,1.2616,0.0007386,8150,,,
26,0.4655,2.0123,1.3521,0.5368,1.7089,1.2496,0.0007386,8464,,,
27,0.4720,1.9528,1.3377,0.5428,1.6916,1.2371,0.0007386,8777,,,
28,0.4775,1.8847,1.1686,0.5456,1.6763,1.2279,0.0007386,9091,,,
29,0.4730,1.9809,1.3450,0.5524,1.6584,1.2190,0.0007386,9404,,,
30,0.4864,1.6609,1.2554,0.5544,1.6453,1.2124,0.0007386,9755,0.5631,1.6127,1.2058
31,0.4988,1.6848,1.2970,0.5562,1.6296,1.2046,0.0005455,10068,,,
