epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.2691,1.2120,1.2352,0.4836,1.0439,1.1207,0.0010000,90,,,
2,0.3709,1.0059,1.1726,0.4754,1.0635,1.1698,0.0010000,172,,,
3,0.4656,1.0145,1.1061,0.4713,1.0905,1.2034,0.0010000,253,,,
4,0.5434,0.9276,1.0639,0.4672,1.0918,1.2135,0.0010000,335,,,
5,0.5786,1.1724,1.2231,0.4836,1.0802,1.2107,0.0010000,414,,,
6,0.5936,0.6094,0.8262,0.4877,1.0547,1.2112,0.0010000,492,,,
7,0.6434,0.5926,0.6380,0.5820,1.0104,1.1797,0.0010000,569,,,
8,0.6857,0.7524,0.8170,0.5820,0.9570,1.1327,0.0010000,648,,,
9,0.7131,0.6641,0.6921,0.6025,0.8823,1.0633,0.0010000,722,,,
10,0.7322,0.5174,0.6698,0.6516,0.7979,0.9779,0.0010000,802,0.6393,0.8548,0.9952
11,0.7325,0.6305,0.6442,0.6967,0.7187,0.8747,0.0010000,876,,,
12,0.7590,0.6614,0.6898,0.7254,0.6507,0.7796,0.0010000,947,,,
13,0.7751,0.5394,0.6552,0.7500,0.6004,0.6901,0.0010000,1018,,,
14,0.7929,0.4333,0.4434,0.7951,0.5551,0.5920,0.0010000,1089,,,
15,0.7957,0.6724,0.7135,0.8320,0.5123,0.5296,0.0010000,1157,,,
16,0.8034,0.5243,0.6355,0.8238,0.4795,0.4959,0.0010000,1228,,,
17,0.8098,0.4822,0.5247,0.8197,0.4683,0.4707,0.0010000,1297,,,
18,0.8243,0.4104,0.4152,0.8279,0.4496,0.4366,0.0010000,1365,,,
19,0.8304,0.3661,0.4313,0.8320,0.4375,0.4197,0.0010000,1432,,,
20,0.8283,0.5931,0.6463,0.8402,0.4260,0.4022,0.0010000,1507,0.8525,0.3912,0.3900
21,0.8319,0.4993,0.5254,0.8443,0.4107,0.3893,0.0010000,1577,,,
22,0.8422,0.3802,0.4063,0.8566,0.3931,0.3705,0.0010000,1643,,,
23,0.8491,0.4436,0.5288,0.8648,0.3758,0.3539,0.0010000,1710,,,
24,0.8478,0.2616,0.3704,0.8689,0.3627,0.3401,0.0010000,1776,,,
25,0.8533,0.2671,0.3624,0.8730,0.3551,0.3202,0.0010000,1843,,,
26,0.8572,0.3789,0.4046,0.8770,0.3547,0.3071,0.0010000,1908,,,
27,0.8654,0.3335,0.3953,0.8770,0.3444,0.2965,0.0010000,1973,,,
28,0.8635,0.3911,0.4343,0.8811,0.3381,0.2938,0.0010000,2041,,,
29,0.8674,0.2920,0.3616,0.8852,0.3379,0.2903,0.0010000,2108,,,
30,0.8642,0.2953,0.3732,0.8811,0.3273,0.2818,0.0010000,2181,0.8893,0.3063,0.2865
31,0.8680,0.3299,0.3878,0.8852,0.3226,0.2728,0.0010000,2248,,,
32,0.8797,0.4750,0.4391,0.8893,0.3271,0.2669,0.0010000,2313,,,
33,0.8772,0.3714,0.4242,0.8934,0.3340,0.2649,0.0010000,2378,,,
34,0.8765,0.3229,0.4086,0.8934,0.3296,0.2604,0.0010000,2441,,,
35,0.8818,0.1969,0.2673,0.8893,0.3336,0.2604,0.0010000,2504,,,
36,0.8873,0.2170,0.2385,0.8975,0.3330,0.2570,0.0010000,2568,,,
37,0.8857,0.2860,0.3365,0.9098,0.3366,0.2525,0.0010000,2632,,,
38,0.8906,0.2041,0.2977,0.9016,0.3418,0.2467,0.0010000,2696,,,
39,0.8909,0.1692,0.2130,0.9016,0.3378,0.2420,0.0010000,2758,,,
40,0.8866,0.4431,0.5127,0.9016,0.3377,0.2436,0.0010000,2828,0.9139,0.2536,0.2286
41,0.8819,0.4568,0.4551,0.9098,0.3294,0.2396,0.0010000,2892,,,
42,0.8915,0.1887,0.2245,0.9098,0.3212,0.2350,0.0010000,2955,,,
43,0.8973,0.2429,0.2690,0.9180,0.3141,0.2293,0.0010000,3019,,,
44,0.8937,0.3202,0.3902,0.9180,0.3092,0.2273,0.0010000,3086,,,
45,0.8948,0.3150,0.3631,0.9098,0.3091,0.2266,0.0010000,3150,,,
46,0.8982,0.3500,0.4005,0.9139,0.3017,0.2256,0.0010000,3214,,,
47,0.9046,0.1860,0.2361,0.9180,0.3037,0.2295,0.0010000,3278,,,
48,0.9021,0.2557,0.3168,0.9262,0.3000,0.2300,0.0010000,3342,,,
49,0.9061,0.2229,0.2404,0.9180,0.2971,0.2284,0.0010000,3403,,,
50,0.9095,0.2313,0.2884,0.9180,0.2922,0.2187,0.0010000,3471,0.9262,0.2215,0.1861
51,0.9108,0.1130,0.1668,0.9221,0.2968,0.2210,0.0010000,3532,,,
52,0.9085,0.2105,0.2329,0.9098,0.3029,0.2278,0.0010000,3594,,,
53,0.9041,0.2535,0.2435,0.9098,0.3010,0.2294,0.0010000,3656,,,
54,0.9101,0.1587,0.2098,0.9098,0.3016,0.2268,0.0010000,3718,,,
55,0.9131,0.1539,0.1913,0.8975,0.3066,0.2271,0.0010000,3779,,,
56,0.9168,0.3206,0.3212,0.9057,0.2989,0.2230,0.0010000,3840,,,
57,0.9133,0.2118,0.2348,0.9016,0.2946,0.2193,0.0010000,3902,,,
58,0.9168,0.0667,0.1107,0.9016,0.2970,0.2182,0.0010000,3963,,,
59,0.8999,0.3964,0.3900,0.9016,0.3149,0.2276,0.0010000,4026,,,
60,0.9025,0.3166,0.2824,0.9016,0.3188,0.2285,0.0010000,4096,0.9262,0.2155,0.1820
61,0.9112,0.2532,0.3023,0.9098,0.3194,0.2247,0.0010000,4156,,,
62,0.9134,0.1819,0.2300,0.9057,0.3107,0.2182,0.0010000,4218,,,
63,0.9135,0.2263,0.2903,0.9098,0.3130,0.2160,0.0010000,4278,,,
64,0.9087,0.2537,0.2725,0.9180,0.3040,0.2122,0.0010000,4340,,,
65,0.9110,0.2748,0.2696,0.9139,0.3002,0.2066,0.0010000,4402,,,
66,0.9202,0.1393,0.1702,0.9221,0.3099,0.2060,0.0010000,4463,,,
67,0.9178,0.1826,0.2203,0.9180,0.3108,0.2054,0.0010000,4524,,,
68,0.9254,0.3155,0.2766,0.9262,0.3003,0.1988,0.0010000,4585,,,
69,0.9241,0.1762,0.2026,0.9303,0.2904,0.1893,0.0010000,4645,,,
70,0.9280,0.1071,0.1687,0.9303,0.2945,0.1893,0.0010000,4712,0.9508,0.2095,0.1518
71,0.9297,0.1673,0.2193,0.9303,0.2930,0.1864,0.0010000,4772,,,
72,0.9318,0.1613,0.1585,0.9344,0.2925,0.1828,0.0010000,4832,,,
73,0.9320,0.1806,0.2023,0.9303,0.2917,0.1810,0.0010000,4891,,,
74,0.9343,0.1339,0.1931,0.9221,0.3029,0.1820,0.0010000,4952,,,
75,0.9300,0.2587,0.2558,0.9221,0.3028,0.1837,0.0010000,5012,,,
76,0.9350,0.2437,0.2221,0.9262,0.3057,0.1826,0.0010000,5071,,,
77,0.9392,0.1833,0.1627,0.9221,0.3067,0.1801,0.0010000,5130,,,
78,0.9411,0.1801,0.1970,0.9139,0.3097,0.1837,0.0010000,5189,,,
79,0.9349,0.2619,0.2346,0.9139,0.3108,0.1842,0.0010000,5248,,,
80,0.9390,0.1994,0.1833,0.9180,0.3125,0.1819,0.0010000,5314,0.9303,0.2377,0.1636
81,0.9389,0.1904,0.2421,0.9180,0.3088,0.1812,0.0010000,5373,,,
82,0.9356,0.1027,0.1412,0.9180,0.3094,0.1811,0.0010000,5434,,,
83,0.9379,0.1391,0.1243,0.9180,0.3099,0.1806,0.0010000,5492,,,
84,0.9408,0.1176,0.1005,0.9221,0.3075,0.1797,0.0010000,5552,,,
85,0.9427,0.1439,0.1340,0.9262,0.3068,0.1759,0.0010000,5611,,,
86,0.9399,0.1178,0.1505,0.9303,0.2981,0.1726,0.0010000,5670,,,
87,0.9436,0.1116,0.1517,0.9262,0.2969,0.1752,0.0010000,5729,,,
88,0.9426,0.0751,0.0972,0.9344,0.2957,0.1726,0.0010000,5787,,,
89,0.9406,0.0876,0.1286,0.9303,0.3024,0.1720,0.0010000,5846,,,
90,0.9413,0.1132,0.1726,0.9262,0.2980,0.1715,0.0010000,5912,0.9426,0.2091,0.1492
91,0.9434,0.0123,0.0238,0.9221,0.3050,0.1730,0.0010000,5970,,,
92,0.9442,0.0749,0.0970,0.9221,0.3074,0.1736,0.0010000,6029,,,
93,0.9407,0.2318,0.2536,0.9262,0.3029,0.1685,0.0010000,6088,,,
94,0.9380,0.1324,0.1754,0.9221,0.3055,0.1698,0.0010000,6146,,,
95,0.9449,0.1032,0.1146,0.9262,0.3075,0.1717,0.0010000,6206,,,
96,0.9455,0.1157,0.1354,0.9221,0.3113,0.1715,0.0010000,6265,,,
97,0.9510,0.1550,0.1653,0.9221,0.3136,0.1698,0.0010000,6323,,,
98,0.9509,0.1441,0.1719,0.9221,0.3175,0.1678,0.0010000,6381,,,
99,0.9496,0.0701,0.1180,0.9262,0.3120,0.1675,0.0010000,6438,,,
100,0.9534,0.0847,0.1080,0.9303,0.3185,0.1637,0.0010000,6504,0.9508,0.2052,0.1426
