epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.3591,1.6837,1.4523,0.4095,1.6441,1.4718,0.0010000,842,,,
2,0.4332,1.4371,1.3326,0.4220,1.6095,1.4582,0.0010000,1685,,,
3,0.4811,1.5647,1.2568,0.4334,1.5785,1.4396,0.0010000,2533,,,
4,0.5052,1.2900,1.1700,0.4504,1.5314,1.4150,0.0010000,3381,,,
5,0.5344,1.2817,1.1860,0.4724,1.4849,1.3858,0.0010000,4232,,,
6,0.5631,1.1024,1.0658,0.4959,1.4233,1.3498,0.0010000,5084,,,
7,0.5839,1.0883,1.0682,0.5279,1.3622,1.3118,0.0010000,5938,,,
8,0.5937,0.8946,0.8910,0.5544,1.2967,1.2673,0.0010000,6792,,,
9,0.6224,0.9421,0.8469,0.5807,1.2285,1.2173,0.0010000,7648,,,
10,0.6304,1.1847,0.9893,0.6090,1.1448,1.1496,0.0010000,8708,0.6041,1.1440,1.1455
11,0.6413,0.8737,0.8058,0.6398,1.0429,1.0682,0.0010000,9567,,,
12,0.6661,1.0967,0.9094,0.6681,0.9613,1.0003,0.0010000,10424,,,
13,0.6730,0.7695,0.8128,0.7059,0.8800,0.9333,0.0010000,11282,,,
14,0.6727,0.6663,0.6669,0.7214,0.8360,0.8912,0.0010000,12139,,,
15,0.6846,0.8724,0.8518,0.7320,0.7900,0.8434,0.0010000,12996,,,
16,0.6877,1.0827,0.9780,0.7427,0.7524,0.8038,0.0010000,13854,,,
17,0.6902,0.9923,0.8905,0.7507,0.7235,0.7725,0.0010000,14712,,,
18,0.6987,0.8029,0.7636,0.7626,0.6992,0.7444,0.0010000,15569,,,
19,0.7043,0.8722,0.7936,0.7673,0.6813,0.7235,0.0010000,16426,,,
20,0.7128,1.3661,0.9776,0.7743,0.6646,0.7094,0.0010000,17485,0.7693,0.6810,0.7198
21,0.7233,0.8493,0.7869,0.7787,0.6508,0.6929,0.0010000,18341,,,
22,0.7237,0.7959,0.7808,0.7851,0.6361,0.6797,0.0010000,19196,,,
23,0.7149,0.7518,0.7155,0.7890,0.6287,0.6729,0.0010000,20050,,,
24,0.7216,0.7350,0.6623,0.7914,0.6209,0.6644,0.0010000,20904,,,
25,0.7321,0.7495,0.7181,0.7967,0.6074,0.6515,0.0010000,21759,,,
26,0.7297,0.8146,0.6935,0.8002,0.5992,0.6411,0.0010000,22613,,,
27,0.7351,0.8198,0.7779,0.7997,0.5898,0.6299,0.0010000,23469,,,
28,0.7358,0.9753,0.7686,0.8059,0.5795,0.6207,0.0010000,24325,,,
29,0.7429,0.5455,0.5611,0.8076,0.5745,0.6180,0.0010000,25181,,,
30,0.7496,1.0559,0.8955,0.8119,0.5674,0.6118,0.0010000,26243,0.8035,0.5848,0.6244
31,0.7463,0.4142,0.4959,0.8134,0.5632,0.6094,0.0010000,27102,,,
32,0.7544,0.8332,0.6855,0.8170,0.5581,0.6032,0.0010000,27959,,,
