epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.3496,1.5860,1.4946,0.4029,1.6328,1.4740,0.0010000,869,,,
2,0.4190,1.4337,1.3250,0.4173,1.6017,1.4611,0.0010000,1717,,,
3,0.4420,1.2260,1.1792,0.4376,1.5579,1.4404,0.0010000,2566,,,
4,0.4454,1.6629,1.3659,0.4472,1.5406,1.4247,0.0010000,3416,,,
5,0.4944,1.3722,1.2289,0.4547,1.5238,1.4079,0.0010000,4266,,,
6,0.5276,1.1910,1.1659,0.4658,1.5033,1.3908,0.0010000,5119,,,
7,0.5424,0.9245,0.9092,0.4864,1.4774,1.3730,0.0010000,5975,,,
8,0.5621,1.4544,1.1578,0.5004,1.4545,1.3622,0.0010000,6831,,,
9,0.5851,0.9051,0.8660,0.5257,1.3771,1.3185,0.0010000,7687,,,
10,0.5901,1.2316,1.0146,0.5590,1.2849,1.2615,0.0010000,8746,0.5622,1.2824,1.2527
11,0.6035,1.0132,0.9865,0.5981,1.1691,1.1767,0.0010000,9602,,,
12,0.6057,1.2395,1.0141,0.6298,1.0834,1.1033,0.0010000,10457,,,
13,0.6259,0.9829,0.9771,0.6586,0.9922,1.0244,0.0010000,11312,,,
14,0.6307,1.0923,1.0321,0.6754,0.9307,0.9634,0.0010000,12165,,,
15,0.6393,0.8986,0.8614,0.6884,0.8885,0.9178,0.0010000,13018,,,
16,0.6398,0.8785,0.8305,0.7096,0.8402,0.8743,0.0010000,13870,,,
17,0.6506,1.4389,1.1563,0.7198,0.8116,0.8443,0.0010000,14723,,,
18,0.6522,0.8992,0.8493,0.7257,0.7914,0.8279,0.0010000,15575,,,
19,0.6552,1.0380,0.9458,0.7304,0.7722,0.8134,0.0010000,16426,,,
20,0.6619,0.7870,0.7606,0.7393,0.7600,0.8051,0.0010000,17477,0.7359,0.7699,0.8051
21,0.6734,1.2492,1.0157,0.7426,0.7453,0.7862,0.0010000,18328,,,
22,0.6681,0.8670,0.7580,0.7510,0.7299,0.7730,0.0010000,19179,,,
23,0.6759,0.7400,0.6989,0.7539,0.7228,0.7668,0.0010000,20028,,,
24,0.6779,0.7285,0.7160,0.7600,0.7053,0.7489,0.0010000,20879,,,
25,0.6967,0.7660,0.8459,0.7669,0.6910,0.7347,0.0010000,21729,,,
26,0.6919,0.7229,0.6898,0.7694,0.6817,0.7225,0.0010000,22578,,,
27,0.6954,1.0656,0.9135,0.7729,0.6718,0.7142,0.0010000,23427,,,
28,0.7095,0.9466,0.7706,0.7750,0.6628,0.7042,0.0010000,24276,,,
29,0.7088,0.8916,0.8249,0.7776,0.6556,0.6962,0.0010000,25124,,,
30,0.7006,0.7889,0.8194,0.7807,0.6467,0.6874,0.0010000,26173,0.7785,0.6541,0.6890
31,0.7162,1.0220,0.8520,0.7855,0.6372,0.6803,0.0010000,27021,,,
32,0.7214,0.9619,0.8317,0.7871,0.6311,0.6751,0.0010000,27866,,,
33,0.7073,1.0566,0.8710,0.7887,0.6272,0.6726,0.0010000,28709,,,
34,0.7140,0.8142,0.7133,0.7912,0.6262,0.6768,0.0010000,29553,,,
35,0.7282,0.7653,0.6423,0.7877,0.6287,0.6805,0.0010000,30395,,,
36,0.7270,0.8953,0.7998,0.7874,0.6273,0.6801,0.0010000,31235,,,
37,0.7307,0.8263,0.7999,0.7862,0.6314,0.6872,0.0010000,32075,,,
38,0.7393,0.8062,0.7039,0.7903,0.6196,0.6734,0.0010000,32914,,,
39,0.7354,0.6156,0.6462,0.7947,0.6099,0.6611,0.0010000,33751,,,
40,0.7269,0.7312,0.7466,0.7940,0.6048,0.6530,0.0010000,34786,0.7985,0.6151,0.6541
41,0.7423,0.9540,0.7888,0.7965,0.5953,0.6428,0.0010000,35623,,,
42,0.7391,0.6785,0.6827,0.7987,0.5899,0.6344,0.0010000,36461,,,
43,0.7363,0.8788,0.7490,0.8024,0.5816,0.6247,0.0010000,37298,,,
44,0.7419,0.9994,0.8176,0.8020,0.5811,0.6232,0.0010000,38134,,,
45,0.7407,0.6243,0.6035,0.8034,0.5782,0.6211,0.0010000,38969,,,
46,0.7306,0.8934,0.8168,0.8046,0.5765,0.6191,0.0010000,39804,,,
47,0.7333,0.7904,0.7289,0.8067,0.5704,0.6138,0.0010000,40637,,,
48,0.7361,0.7608,0.7409,0.8059,0.5672,0.6099,0.0010000,41472,,,
49,0.7397,0.6790,0.6669,0.8052,0.5669,0.6090,0.0010000,42306,,,
50,0.7385,0.9760,0.7825,0.8084,0.5661,0.6070,0.0010000,43335,0.8103,0.5791,0.6125
51,0.7463,0.6912,0.6643,0.8095,0.5624,0.6033,0.0010000,44169,,,
52,0.7415,0.5645,0.5660,0.8094,0.5587,0.5998,0.0010000,45003,,,
53,0.7430,0.7180,0.7007,0.8100,0.5570,0.5961,0.0010000,45837,,,
54,0.7457,0.6278,0.5992,0.8097,0.5548,0.5938,0.0010000,46670,,,
55,0.7343,0.5905,0.5353,0.8121,0.5520,0.5910,0.0010000,47503,,,
56,0.7374,0.7085,0.6452,0.8113,0.5511,0.5896,0.0010000,48336,,,
57,0.7387,0.5659,0.5599,0.8088,0.5570,0.5919,0.0010000,49168,,,
58,0.7334,0.4310,0.4834,0.8118,0.5500,0.5874,0.0010000,50001,,,
59,0.7407,1.1146,0.8116,0.8122,0.5482,0.5844,0.0010000,50835,,,
60,0.7397,0.8762,0.6324,0.8131,0.5422,0.5806,0.0010000,51863,0.8147,0.5584,0.5864
61,0.7396,0.5643,0.5515,0.8140,0.5396,0.5768,0.0010000,52695,,,
62,0.7387,0.6207,0.6814,0.8142,0.5382,0.5769,0.0010000,53526,,,
63,0.7472,0.6580,0.6022,0.8170,0.5347,0.5746,0.0010000,54357,,,
64,0.7423,0.6069,0.5918,0.8182,0.5349,0.5734,0.0010000,55188,,,
65,0.7547,0.6389,0.5775,0.8184,0.5321,0.5705,0.0010000,56023,,,
66,0.7539,0.5070,0.5243,0.8191,0.5363,0.5717,0.0010000,56854,,,
67,0.7550,0.6745,0.6649,0.8167,0.5357,0.5709,0.0010000,57684,,,
68,0.7560,0.5466,0.5469,0.8170,0.5368,0.5703,0.0010000,58515,,,
69,0.7608,0.8020,0.6741,0.8168,0.5359,0.5701,0.0010000,59345,,,
70,0.7593,0.6158,0.5976,0.8189,0.5333,0.5662,0.0010000,60370,0.8195,0.5457,0.5705
71,0.7611,0.6402,0.6289,0.8229,0.5249,0.5595,0.0010000,61200,,,
72,0.7623,0.6670,0.6094,0.8232,0.5191,0.5531,0.0010000,62030,,,
73,0.7575,0.6298,0.5874,0.8267,0.5139,0.5509,0.0010000,62859,,,
74,0.7675,0.7264,0.6142,0.8266,0.5167,0.5577,0.0010000,63688,,,
75,0.7706,0.8247,0.6265,0.8256,0.5199,0.5617,0.0010000,64518,,,
76,0.7690,0.6924,0.6319,0.8297,0.5118,0.5527,0.0010000,65348,,,
77,0.7751,0.5186,0.5984,0.8333,0.5040,0.5447,0.0010000,66177,,,
78,0.7695,0.6386,0.5022,0.8347,0.4965,0.5348,0.0010000,67007,,,
79,0.7750,0.4431,0.4717,0.8348,0.4914,0.5293,0.0010000,67836,,,
80,0.7782,0.7699,0.6909,0.8359,0.4865,0.5243,0.0010000,68859,0.8340,0.4982,0.5306
81,0.7749,0.5720,0.5382,0.8364,0.4865,0.5236,0.0010000,69689,,,
82,0.7772,0.7685,0.6471,0.8373,0.4876,0.5236,0.0010000,70518,,,
83,0.7689,0.6676,0.6620,0.8375,0.4868,0.5215,0.0010000,71348,,,
