epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4648,1.1809,1.0648,0.4708,1.5321,1.2238,0.0010000,1390,,,
2,0.5609,1.1392,0.9653,0.5176,1.3802,1.1747,0.0010000,2786,,,
3,0.6216,1.1263,0.9783,0.5607,1.2355,1.1216,0.0010000,4122,,,
4,0.6506,0.9665,0.9491,0.5992,1.1174,1.0724,0.0010000,5462,,,
5,0.6686,0.9213,0.8779,0.6385,1.0234,1.0216,0.0010000,6850,,,
6,0.6962,0.8865,0.7296,0.6730,0.9453,0.9727,0.0010000,8225,,,
7,0.7064,0.8248,0.7888,0.6965,0.8807,0.9224,0.0010000,9562,,,
8,0.7217,1.0111,0.8673,0.7257,0.8061,0.8597,0.0010000,10896,,,
9,0.7180,0.4855,0.5152,0.7547,0.7304,0.7929,0.0010000,12229,,,
10,0.7304,0.7016,0.5950,0.7758,0.6694,0.7292,0.0010000,13951,0.7704,0.6824,0.7409
11,0.7319,0.4877,0.5671,0.7914,0.6207,0.6710,0.0010000,15279,,,
12,0.7579,0.5588,0.5894,0.8036,0.5873,0.6328,0.0010000,16605,,,
13,0.7493,0.6021,0.6087,0.8127,0.5596,0.6055,0.0010000,17931,,,
14,0.7570,0.7250,0.6227,0.8189,0.5405,0.5849,0.0010000,19255,,,
15,0.7656,0.7215,0.5531,0.8241,0.5281,0.5707,0.0010000,20580,,,
16,0.7625,0.5459,0.4800,0.8285,0.5137,0.5555,0.0010000,21903,,,
17,0.7700,0.7235,0.4606,0.8335,0.5018,0.5434,0.0010000,23226,,,
18,0.7710,0.7184,0.6159,0.8341,0.4963,0.5367,0.0010000,24548,,,
19,0.7774,0.6101,0.6525,0.8372,0.4853,0.5267,0.0010000,25869,,,
20,0.7794,0.4863,0.4845,0.8422,0.4780,0.5187,0.0010000,27576,0.8385,0.4914,0.5324
21,0.7734,0.5694,0.5714,0.8446,0.4675,0.5082,0.0010000,28896,,,
22,0.7842,0.4789,0.4732,0.8482,0.4594,0.5004,0.0010000,30219,,,
23,0.7815,0.7096,0.5682,0.8504,0.4525,0.4933,0.0010000,31538,,,
24,0.7947,0.5531,0.4694,0.8519,0.4482,0.4870,0.0010000,32856,,,
25,0.7937,0.4326,0.5002,0.8540,0.4390,0.4788,0.0010000,34172,,,
26,0.7913,0.6025,0.5686,0.8558,0.4360,0.4746,0.0010000,35490,,,
27,0.7951,0.6087,0.5781,0.8574,0.4317,0.4710,0.0010000,36807,,,
28,0.7995,0.6722,0.6024,0.8594,0.4266,0.4651,0.0010000,38124,,,
29,0.7991,0.3823,0.4607,0.8613,0.4215,0.4594,0.0010000,39440,,,
30,0.7996,0.6550,0.5823,0.8631,0.4176,0.4553,0.0010000,41138,0.8554,0.4342,0.4706
31,0.8071,0.5676,0.5228,0.8637,0.4149,0.4512,0.0010000,42454,,,
32,0.8113,0.5510,0.4396,0.8671,0.4105,0.4476,0.0010000,43769,,,
33,0.8119,0.5157,0.5262,0.8667,0.4094,0.4443,0.0010000,45083,,,
34,0.8043,0.4990,0.4902,0.8664,0.4067,0.4425,0.0010000,46397,,,
35,0.8066,0.3898,0.4528,0.8681,0.4044,0.4397,0.0010000,47709,,,
36,0.8052,0.4990,0.4590,0.8692,0.4003,0.4368,0.0010000,49022,,,
37,0.8154,0.5880,0.5142,0.8709,0.3973,0.4327,0.0010000,50335,,,
38,0.8119,0.4953,0.5152,0.8723,0.3950,0.4304,0.0010000,51647,,,
39,0.8158,0.4706,0.4512,0.8725,0.3921,0.4269,0.0010000,52958,,,
40,0.8116,0.5469,0.5674,0.8727,0.3893,0.4232,0.0010000,54647,0.8656,0.4059,0.4394
41,0.8223,0.4310,0.4434,0.8755,0.3875,0.4213,0.0010000,55956,,,
42,0.8198,0.6927,0.6068,0.8753,0.3844,0.4176,0.0010000,57262,,,
43,0.8160,0.2933,0.3351,0.8777,0.3820,0.4149,0.0010000,58568,,,
44,0.8172,0.4546,0.4963,0.8775,0.3795,0.4115,0.0010000,59875,,,
45,0.8222,0.4098,0.3734,0.8769,0.3772,0.4095,0.0010000,61181,,,
46,0.8254,0.5170,0.5237,0.8765,0.3762,0.4072,0.0010000,62488,,,
47,0.8171,0.5104,0.4899,0.8783,0.3739,0.4047,0.0010000,63793,,,
48,0.8280,0.4372,0.4595,0.8786,0.3709,0.4024,0.0010000,65099,,,
49,0.8232,0.3500,0.3686,0.8776,0.3722,0.4026,0.0010000,66403,,,
50,0.8227,0.4774,0.4524,0.8757,0.3723,0.4018,0.0010000,68086,0.8705,0.3910,0.4171
51,0.8308,0.4203,0.4133,0.8740,0.3741,0.4023,0.0010000,69390,,,
52,0.8226,0.4008,0.4053,0.8755,0.3720,0.4010,0.0010000,70693,,,
53,0.8262,0.5032,0.4757,0.8752,0.3693,0.3991,0.0010000,71996,,,
54,0.8227,0.5596,0.4784,0.8785,0.3656,0.3969,0.0010000,73298,,,
55,0.8311,0.6883,0.4281,0.8818,0.3616,0.3942,0.0010000,74603,,,
56,0.8326,0.1645,0.1869,0.8822,0.3596,0.3917,0.0010000,75904,,,
57,0.8376,0.4168,0.3768,0.8843,0.3571,0.3896,0.0010000,77206,,,
58,0.8299,0.5911,0.4566,0.8855,0.3561,0.3882,0.0010000,78509,,,
59,0.8364,0.5669,0.4964,0.8861,0.3533,0.3850,0.0010000,79811,,,
60,0.8326,0.2642,0.2914,0.8845,0.3545,0.3855,0.0010000,81492,0.8774,0.3736,0.4012
61,0.8337,0.6027,0.5256,0.8871,0.3525,0.3838,0.0010000,82796,,,
62,0.8336,0.6508,0.4227,0.8892,0.3493,0.3811,0.0010000,84101,,,
63,0.8394,0.3311,0.3771,0.8874,0.3476,0.3787,0.0010000,85407,,,
64,0.8380,0.4505,0.4147,0.8870,0.3472,0.3771,0.0010000,86714,,,
65,0.8291,0.3387,0.3195,0.8874,0.3474,0.3765,0.0010000,88021,,,
66,0.8477,0.4162,0.3571,0.8872,0.3465,0.3754,0.0010000,89327,,,
67,0.8379,0.4768,0.4555,0.8868,0.3465,0.3751,0.0010000,90633,,,
68,0.8463,0.4581,0.3741,0.8874,0.3470,0.3753,0.0010000,91941,,,
69,0.8464,0.6063,0.5136,0.8862,0.3446,0.3739,0.0010000,93251,,,
70,0.8405,0.3875,0.3838,0.8868,0.3449,0.3733,0.0010000,94940,0.8807,0.3650,0.3926
71,0.8389,0.2332,0.2539,0.8862,0.3433,0.3714,0.0010000,96250,,,
72,0.8427,0.2775,0.3146,0.8878,0.3412,0.3699,0.0010000,97561,,,
73,0.8430,0.5920,0.4872,0.8868,0.3400,0.3693,0.0010000,98873,,,
74,0.8446,0.7240,0.6396,0.8888,0.3387,0.3685,0.0010000,100189,,,
75,0.8435,0.4450,0.4589,0.8907,0.3376,0.3672,0.0010000,101506,,,
76,0.8442,0.1901,0.2656,0.8913,0.3373,0.3668,0.0010000,102830,,,
77,0.8436,0.5313,0.5280,0.8906,0.3366,0.3658,0.0010000,104153,,,
78,0.8522,0.4257,0.3768,0.8908,0.3345,0.3637,0.0010000,105472,,,
79,0.8444,0.6030,0.4673,0.8915,0.3340,0.3634,0.0010000,106797,,,
80,0.8532,0.3227,0.3271,0.8925,0.3326,0.3628,0.0010000,108504,0.8841,0.3556,0.3836
81,0.8529,0.2976,0.2872,0.8932,0.3323,0.3621,0.0010000,109827,,,
82,0.8498,0.3721,0.3532,0.8949,0.3284,0.3597,0.0010000,111159,,,
83,0.8429,0.6012,0.5704,0.8946,0.3289,0.3599,0.0010000,112483,,,
84,0.8477,0.3251,0.3807,0.8941,0.3290,0.3596,0.0010000,113808,,,
85,0.8529,0.4377,0.4131,0.8960,0.3279,0.3591,0.0010000,115133,,,
86,0.8546,0.4271,0.3748,0.8951,0.3252,0.3575,0.0010000,116458,,,
87,0.8524,0.3205,0.3889,0.8982,0.3231,0.3558,0.0010000,117784,,,
88,0.8576,0.5301,0.4536,0.8992,0.3227,0.3559,0.0010000,119114,,,
89,0.8510,0.2960,0.3267,0.8978,0.3229,0.3548,0.0010000,120441,,,
90,0.8598,0.3467,0.3972,0.8971,0.3225,0.3540,0.0010000,122155,0.8868,0.3472,0.3743
91,0.8605,0.3337,0.3025,0.8958,0.3241,0.3550,0.0010000,123485,,,
92,0.8516,0.2039,0.2572,0.8957,0.3255,0.3558,0.0010000,124815,,,
93,0.8521,0.4145,0.4415,0.8949,0.3252,0.3552,0.0010000,126146,,,
94,0.8491,0.4031,0.4064,0.8947,0.3244,0.3541,0.0010000,127480,,,
95,0.8529,0.3790,0.2866,0.8954,0.3237,0.3529,0.0010000,128818,,,
96,0.8536,0.5234,0.4343,0.8974,0.3208,0.3506,0.0010000,130157,,,
97,0.8565,0.5913,0.4451,0.8960,0.3211,0.3505,0.0010000,131497,,,
98,0.8620,0.3765,0.3666,0.8932,0.3237,0.3517,0.0010000,132838,,,
99,0.8560,0.4511,0.3606,0.8922,0.3242,0.3512,0.0010000,134183,,,
100,0.8572,0.4210,0.3963,0.8921,0.3230,0.3503,0.0010000,135923,0.8847,0.3490,0.3716
101,0.8589,0.4695,0.4745,0.8939,0.3225,0.3506,0.0010000,137269,,,
102,0.8595,0.4078,0.4332,0.8956,0.3205,0.3482,0.0010000,138616,,,
103,0.8543,0.2813,0.3215,0.8961,0.3194,0.3471,0.0010000,139973,,,
104,0.8604,0.4130,0.3907,0.8942,0.3182,0.3463,0.0010000,141327,,,
105,0.8613,0.4619,0.4248,0.8957,0.3178,0.3452,0.0010000,142683,,,
106,0.8550,0.3398,0.3012,0.8950,0.3195,0.3463,0.0010000,144041,,,
