epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.7707,0.5111,0.5465,0.8365,0.5136,0.6005,0.0010000,300,,,
2,0.8095,0.4622,0.4607,0.8389,0.5004,0.5835,0.0010000,594,,,
3,0.8268,0.4302,0.5204,0.8489,0.4771,0.5574,0.0010000,887,,,
4,0.8359,0.3662,0.4019,0.8573,0.4527,0.5310,0.0010000,1178,,,
5,0.8376,0.4731,0.4253,0.8623,0.4310,0.5056,0.0010000,1469,,,
6,0.8468,0.3701,0.4145,0.8705,0.4070,0.4779,0.0010000,1757,,,
7,0.8619,0.4050,0.3718,0.8769,0.3848,0.4509,0.0010000,2044,,,
8,0.8610,0.3754,0.3600,0.8825,0.3651,0.4243,0.0010000,2331,,,
9,0.8683,0.3770,0.3432,0.8865,0.3446,0.3966,0.0010000,2616,,,
10,0.8741,0.2631,0.2602,0.8921,0.3260,0.3717,0.0010000,2931,0.8913,0.3223,0.3712
11,0.8702,0.4439,0.3529,0.8979,0.3116,0.3519,0.0010000,3216,,,
12,0.8721,0.2655,0.2664,0.9009,0.3005,0.3394,0.0010000,3499,,,
13,0.8764,0.1161,0.1803,0.9053,0.2915,0.3284,0.0010000,3782,,,
14,0.8777,0.3679,0.4078,0.9079,0.2848,0.3189,0.0010000,4065,,,
15,0.8790,0.2667,0.2968,0.9093,0.2795,0.3133,0.0010000,4348,,,
16,0.8898,0.4150,0.3074,0.9093,0.2732,0.3067,0.0007386,4630,,,
17,0.8887,0.3020,0.3327,0.9111,0.2688,0.3014,0.0007386,4913,,,
18,0.8901,0.3254,0.3414,0.9113,0.2641,0.2972,0.0007386,5197,,,
19,0.8896,0.2681,0.3666,0.9145,0.2600,0.2947,0.0007386,5480,,,
20,0.8858,0.3809,0.3891,0.9173,0.2569,0.2909,0.0007386,5792,0.9151,0.2496,0.2875
21,0.8896,0.1638,0.2106,0.9183,0.2537,0.2878,0.0007386,6074,,,
22,0.8901,0.3038,0.3540,0.9187,0.2508,0.2842,0.0007386,6357,,,
23,0.8957,0.2037,0.2366,0.9195,0.2472,0.2813,0.0007386,6639,,,
24,0.8975,0.1822,0.1953,0.9203,0.2456,0.2804,0.0007386,6921,,,
25,0.8955,0.2672,0.3331,0.9217,0.2426,0.2765,0.0007386,7204,,,
26,0.8934,0.2171,0.2660,0.9215,0.2404,0.2743,0.0007386,7485,,,
27,0.8979,0.4613,0.3888,0.9215,0.2394,0.2738,0.0007386,7767,,,
28,0.8979,0.4099,0.4685,0.9193,0.2382,0.2729,0.0007386,8048,,,
29,0.9025,0.2729,0.2806,0.9199,0.2361,0.2702,0.0007386,8327,,,
30,0.9007,0.2498,0.2734,0.9207,0.2343,0.2675,0.0007386,8635,0.9223,0.2290,0.2619
31,0.9051,0.2790,0.2774,0.9191,0.2330,0.2650,0.0005455,8915,,,
