epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4621,1.4248,1.2114,0.4543,2.0837,1.1368,0.0010000,196,,,
2,0.5332,1.2828,1.1672,0.4614,2.0729,1.1240,0.0010000,452,,,
3,0.5689,1.3290,1.1273,0.4639,2.0958,1.1144,0.0010000,687,,,
4,0.5795,1.1073,0.9886,0.4651,2.1428,1.1084,0.0010000,875,,,
5,0.6008,1.2528,1.0448,0.4568,2.2793,1.1192,0.0010000,1065,,,
6,0.6081,1.1203,0.8738,0.4475,2.4674,1.1345,0.0010000,1254,,,
7,0.6275,0.8830,0.7664,0.4326,2.6960,1.1534,0.0010000,1444,,,
8,0.6270,1.0689,0.8990,0.4201,2.9470,1.1715,0.0010000,1632,,,
9,0.6403,0.9501,0.8792,0.4162,3.1723,1.1784,0.0010000,1821,,,
10,0.6412,1.2432,1.0037,0.4257,3.2381,1.1622,0.0010000,2044,0.4154,3.3588,1.1770
11,0.6728,0.9164,0.8772,0.4500,3.1481,1.1151,0.0007374,2231,,,
12,0.6860,0.8821,0.7290,0.4756,2.9940,1.0663,0.0007374,2422,,,
13,0.6866,0.8066,0.8012,0.4979,2.8308,1.0243,0.0007374,2608,,,
14,0.6993,0.9088,0.8221,0.5262,2.5853,0.9742,0.0007374,2796,,,
15,0.6984,0.9391,0.7438,0.5493,2.4235,0.9333,0.0007374,2982,,,
16,0.6921,0.8711,0.6972,0.5714,2.2448,0.8890,0.0007374,3174,,,
17,0.7026,0.6207,0.6193,0.5949,2.0303,0.8427,0.0007374,3362,,,
18,0.7118,0.6967,0.6320,0.6156,1.8578,0.8053,0.0007374,3550,,,
19,0.7090,0.7728,0.6928,0.6386,1.6930,0.7643,0.0007374,3739,,,
20,0.7132,0.7380,0.7436,0.6531,1.5997,0.7402,0.0007374,3967,0.6400,1.7024,0.7626
21,0.7346,0.6106,0.6119,0.6644,1.5270,0.7189,0.0005438,4155,,,
22,0.7439,0.6760,0.5582,0.6750,1.4590,0.7010,0.0005438,4343,,,
23,0.7421,0.7375,0.7130,0.6854,1.4006,0.6847,0.0005438,4531,,,
24,0.7413,0.8081,0.6691,0.6897,1.3803,0.6735,0.0005438,4720,,,
25,0.7489,0.5656,0.5453,0.7017,1.3220,0.6546,0.0005438,4909,,,
26,0.7468,0.9293,0.7192,0.7112,1.2589,0.6393,0.0005438,5100,,,
27,0.7422,0.6835,0.6537,0.7161,1.2240,0.6301,0.0005438,5288,,,
28,0.7555,0.6479,0.6865,0.7181,1.2079,0.6253,0.0005438,5477,,,
29,0.7588,0.5350,0.5373,0.7241,1.1796,0.6148,0.0005438,5669,,,
30,0.7588,0.4471,0.4290,0.7313,1.1418,0.5992,0.0005438,5896,0.7188,1.2337,0.6205
31,0.7661,0.6593,0.6454,0.7419,1.1044,0.5843,0.0004010,6079,,,
32,0.7721,0.4738,0.5307,0.7459,1.0673,0.5729,0.0004010,6201,,,
33,0.7785,0.5068,0.5476,0.7497,1.0553,0.5663,0.0004010,6323,,,
34,0.7799,0.4407,0.4465,0.7533,1.0340,0.5587,0.0004010,6446,,,
35,0.7723,0.6463,0.5933,0.7541,1.0241,0.5558,0.0004010,6568,,,
36,0.7795,0.4832,0.5251,0.7547,1.0254,0.5552,0.0004010,6691,,,
37,0.7858,0.7176,0.5907,0.7577,1.0124,0.5498,0.0004010,6813,,,
38,0.7833,0.7173,0.6267,0.7607,0.9890,0.5427,0.0004010,6936,,,
39,0.7851,0.6825,0.5883,0.7683,0.9527,0.5325,0.0004010,7058,,,
40,0.7810,0.3682,0.4552,0.7718,0.9365,0.5287,0.0004010,7200,0.7591,1.0250,0.5481
41,0.7890,0.6625,0.5571,0.7718,0.9269,0.5265,0.0002957,7322,,,
42,0.7993,0.4252,0.5138,0.7747,0.9198,0.5249,0.0002957,7445,,,
43,0.7901,0.5009,0.4969,0.7774,0.8976,0.5184,0.0002957,7568,,,
44,0.7930,0.7586,0.6601,0.7813,0.8741,0.5114,0.0002957,7690,,,
45,0.7959,0.5902,0.5574,0.7845,0.8520,0.5047,0.0002957,7813,,,
46,0.7990,0.7713,0.6128,0.7888,0.8319,0.4975,0.0002957,7935,,,
47,0.7943,0.4482,0.4730,0.7900,0.8231,0.4948,0.0002957,8058,,,
48,0.8006,0.6847,0.6169,0.7923,0.8060,0.4889,0.0002957,8181,,,
49,0.8018,0.7944,0.6226,0.7944,0.7986,0.4863,0.0002957,8304,,,
50,0.8022,0.3788,0.4439,0.7967,0.7937,0.4837,0.0002957,8445,0.7845,0.8805,0.5071
