epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.7843,0.2312,0.3134,0.9338,0.2174,0.2283,0.0010000,529,,,
2,0.9222,0.2355,0.2917,0.9418,0.1995,0.2183,0.0010000,967,,,
3,0.9347,0.2419,0.2208,0.9432,0.1865,0.2069,0.0010000,1401,,,
4,0.9369,0.0770,0.1178,0.9425,0.1788,0.2006,0.0010000,1831,,,
5,0.9403,0.1058,0.1388,0.9440,0.1704,0.1929,0.0010000,2259,,,
6,0.9477,0.0940,0.1351,0.9469,0.1644,0.1866,0.0010000,2681,,,
7,0.9456,0.1575,0.1874,0.9476,0.1570,0.1792,0.0010000,3101,,,
8,0.9445,0.1615,0.1849,0.9512,0.1521,0.1711,0.0010000,3525,,,
9,0.9472,0.1008,0.1522,0.9520,0.1450,0.1622,0.0010000,3951,,,
10,0.9467,0.3700,0.2414,0.9549,0.1411,0.1565,0.0010000,4412,0.9491,0.1688,0.1720
11,0.9483,0.0675,0.1005,0.9556,0.1375,0.1494,0.0009044,4833,,,
12,0.9504,0.1070,0.1402,0.9578,0.1361,0.1434,0.0009044,5250,,,
13,0.9522,0.0670,0.1059,0.9578,0.1344,0.1406,0.0009044,5661,,,
14,0.9518,0.1981,0.2197,0.9600,0.1333,0.1369,0.0009044,6074,,,
15,0.9522,0.0822,0.1200,0.9614,0.1330,0.1358,0.0009044,6486,,,
16,0.9527,0.0881,0.1294,0.9614,0.1308,0.1331,0.0009044,6894,,,
17,0.9516,0.0909,0.1305,0.9614,0.1295,0.1296,0.0009044,7308,,,
18,0.9520,0.2164,0.2270,0.9607,0.1271,0.1270,0.0009044,7719,,,
19,0.9508,0.0539,0.0934,0.9614,0.1279,0.1268,0.0009044,8129,,,
20,0.9527,0.0798,0.0989,0.9600,0.1251,0.1238,0.0009044,8579,0.9498,0.1524,0.1353
21,0.9536,0.0655,0.0958,0.9607,0.1220,0.1214,0.0008179,8990,,,
22,0.9537,0.1277,0.1257,0.9614,0.1207,0.1211,0.0008179,9400,,,
23,0.9569,0.1397,0.1278,0.9614,0.1206,0.1201,0.0008179,9804,,,
24,0.9548,0.1012,0.1386,0.9614,0.1192,0.1198,0.0008179,10209,,,
25,0.9549,0.0618,0.0760,0.9607,0.1182,0.1191,0.0008179,10615,,,
26,0.9561,0.0872,0.0817,0.9614,0.1187,0.1181,0.0008179,11019,,,
27,0.9578,0.0640,0.0849,0.9614,0.1210,0.1200,0.0008179,11419,,,
28,0.9558,0.1298,0.1339,0.9629,0.1207,0.1210,0.0008179,11823,,,
29,0.9592,0.0328,0.0563,0.9622,0.1212,0.1228,0.0008179,12225,,,
30,0.9563,0.0717,0.1093,0.9622,0.1213,0.1226,0.0008179,12668,0.9563,0.1350,0.1282
31,0.9540,0.0745,0.1207,0.9622,0.1227,0.1242,0.0007397,13068,,,
32,0.9571,0.0528,0.0907,0.9636,0.1234,0.1253,0.0007397,13468,,,
33,0.9564,0.1464,0.2007,0.9636,0.1229,0.1240,0.0007397,13868,,,
34,0.9576,0.0875,0.1391,0.9636,0.1227,0.1241,0.0007397,14269,,,
35,0.9590,0.1207,0.1346,0.9636,0.1244,0.1251,0.0007397,14668,,,
36,0.9575,0.0864,0.1070,0.9629,0.1223,0.1239,0.0007397,15070,,,
37,0.9566,0.1154,0.1337,0.9622,0.1186,0.1202,0.0007397,15469,,,
38,0.9596,0.0698,0.0926,0.9629,0.1185,0.1193,0.0007397,15868,,,
39,0.9576,0.1026,0.1026,0.9614,0.1177,0.1188,0.0007397,16268,,,
40,0.9591,0.1214,0.1491,0.9607,0.1176,0.1189,0.0007397,16710,0.9571,0.1232,0.1182
41,0.9610,0.0557,0.0965,0.9614,0.1180,0.1184,0.0006690,17111,,,
42,0.9578,0.0759,0.0836,0.9622,0.1166,0.1167,0.0006690,17510,,,
43,0.9614,0.0725,0.0640,0.9629,0.1172,0.1177,0.0006690,17908,,,
44,0.9589,0.0486,0.0830,0.9629,0.1180,0.1173,0.0006690,18309,,,
45,0.9608,0.1492,0.1339,0.9622,0.1176,0.1176,0.0006690,18707,,,
46,0.9600,0.0615,0.0870,0.9622,0.1188,0.1189,0.0006690,19108,,,
47,0.9605,0.1622,0.1567,0.9622,0.1187,0.1180,0.0006690,19504,,,
48,0.9592,0.1785,0.1418,0.9629,0.1189,0.1188,0.0006690,19902,,,
49,0.9603,0.0663,0.1059,0.9622,0.1190,0.1199,0.0006690,20301,,,
50,0.9624,0.0704,0.1031,0.9614,0.1186,0.1175,0.0006690,20743,0.9571,0.1181,0.1141
FINAL TEST,,,,,,,,20787,0.9563,0.1349,0.1296
