epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4876,1.2309,1.1887,0.5506,1.2499,1.1860,0.0010000,501,,,
2,0.5982,0.9503,0.9416,0.5626,1.2165,1.1633,0.0010000,991,,,
3,0.6449,0.7247,0.7531,0.5716,1.1701,1.1367,0.0010000,1474,,,
4,0.6677,1.2441,1.1090,0.5937,1.1206,1.1073,0.0010000,1955,,,
5,0.6914,0.7895,0.7744,0.6202,1.0652,1.0733,0.0010000,2432,,,
6,0.7162,1.0990,0.8540,0.6513,1.0010,1.0261,0.0010000,2908,,,
7,0.7284,0.8416,0.7639,0.6759,0.9316,0.9700,0.0010000,3383,,,
8,0.7361,0.6523,0.5896,0.7109,0.8439,0.8913,0.0010000,3856,,,
9,0.7512,0.6971,0.7552,0.7430,0.7525,0.8008,0.0010000,4327,,,
10,0.7587,0.6854,0.6932,0.7786,0.6677,0.7106,0.0010000,4883,0.7779,0.6616,0.7055
11,0.7783,0.4771,0.5256,0.8011,0.5940,0.6179,0.0009044,5354,,,
12,0.7884,0.4830,0.5436,0.8161,0.5496,0.5642,0.0009044,5827,,,
13,0.7942,0.4398,0.4935,0.8241,0.5148,0.5253,0.0009044,6299,,,
14,0.8028,0.5896,0.5429,0.8347,0.4884,0.4962,0.0009044,6768,,,
15,0.8019,0.5221,0.5109,0.8357,0.4710,0.4735,0.0009044,7239,,,
16,0.7996,0.6852,0.5276,0.8427,0.4540,0.4535,0.0009044,7708,,,
17,0.8169,0.4630,0.4529,0.8497,0.4379,0.4343,0.0009044,8175,,,
18,0.8110,0.5238,0.5311,0.8567,0.4236,0.4202,0.0009044,8646,,,
19,0.8145,0.8485,0.6097,0.8612,0.4106,0.4081,0.0009044,9124,,,
20,0.8184,0.9920,0.6757,0.8682,0.3970,0.3943,0.0009044,9679,0.8610,0.4152,0.4061
21,0.8326,0.6549,0.4762,0.8702,0.3857,0.3845,0.0008179,10147,,,
22,0.8277,0.3942,0.4377,0.8768,0.3810,0.3778,0.0008179,10616,,,
23,0.8336,0.5039,0.4877,0.8798,0.3749,0.3692,0.0008179,11082,,,
24,0.8331,0.4047,0.4295,0.8858,0.3666,0.3606,0.0008179,11549,,,
25,0.8417,0.4363,0.3797,0.8823,0.3581,0.3555,0.0008179,12015,,,
26,0.8395,0.5604,0.4480,0.8843,0.3519,0.3508,0.0008179,12482,,,
27,0.8449,0.4099,0.4065,0.8838,0.3467,0.3459,0.0008179,12949,,,
28,0.8552,0.4651,0.4663,0.8858,0.3455,0.3415,0.0008179,13415,,,
29,0.8426,0.2468,0.2892,0.8868,0.3437,0.3369,0.0008179,13882,,,
30,0.8402,0.6807,0.5691,0.8848,0.3385,0.3312,0.0008179,14435,0.8806,0.3512,0.3435
31,0.8536,0.4206,0.3731,0.8878,0.3362,0.3273,0.0007397,14901,,,
32,0.8555,0.3879,0.3963,0.8893,0.3324,0.3245,0.0007397,15367,,,
33,0.8593,0.1504,0.2175,0.8903,0.3282,0.3199,0.0007397,15833,,,
34,0.8534,0.3832,0.3728,0.8898,0.3257,0.3161,0.0007397,16300,,,
35,0.8641,0.3633,0.3349,0.8923,0.3261,0.3137,0.0007397,16767,,,
36,0.8549,0.4958,0.4932,0.8948,0.3223,0.3085,0.0007397,17235,,,
37,0.8641,0.3418,0.3062,0.8948,0.3211,0.3047,0.0007397,17701,,,
38,0.8555,0.5569,0.4740,0.8958,0.3184,0.3027,0.0007397,18168,,,
39,0.8645,0.3144,0.3392,0.8973,0.3154,0.2978,0.0007397,18634,,,
40,0.8634,0.4031,0.2955,0.9003,0.3108,0.2922,0.0007397,19184,0.8932,0.3138,0.3050
41,0.8669,0.2055,0.2720,0.9043,0.3081,0.2896,0.0006690,19650,,,
42,0.8799,0.3612,0.2773,0.9063,0.3052,0.2838,0.0006690,20117,,,
43,0.8744,0.4186,0.3434,0.9048,0.3049,0.2816,0.0006690,20587,,,
44,0.8763,0.7437,0.5810,0.9068,0.3000,0.2794,0.0006690,21054,,,
45,0.8751,0.3248,0.4300,0.9048,0.2984,0.2773,0.0006690,21519,,,
46,0.8677,0.4093,0.3715,0.9058,0.2958,0.2765,0.0006690,21985,,,
47,0.8809,0.2008,0.2686,0.9078,0.2948,0.2761,0.0006690,22451,,,
48,0.8797,0.7242,0.4867,0.9108,0.2933,0.2717,0.0006690,22916,,,
49,0.8759,0.2117,0.2820,0.9083,0.2938,0.2728,0.0006690,23381,,,
50,0.8839,0.2585,0.2910,0.9083,0.2943,0.2734,0.0006690,23933,0.8979,0.3014,0.2892
FINAL TEST,,,,,,,,24018,0.8968,0.3047,0.2916
