epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4326,1.8197,1.5316,0.4950,1.3829,1.2868,0.0010000,479,,,
2,0.5740,1.6374,1.3169,0.5135,1.3234,1.2602,0.0010000,949,,,
3,0.6505,0.6190,0.7603,0.5336,1.2588,1.2231,0.0010000,1413,,,
4,0.6893,1.2077,0.9947,0.5611,1.2038,1.1870,0.0010000,1870,,,
5,0.7062,0.7331,0.6999,0.5882,1.1394,1.1390,0.0010000,2324,,,
6,0.7375,1.2143,0.9255,0.6192,1.0671,1.0774,0.0010000,2775,,,
7,0.7463,0.6293,0.6314,0.6583,0.9800,0.9985,0.0010000,3226,,,
8,0.7581,0.7197,0.5606,0.6879,0.8772,0.8992,0.0010000,3673,,,
9,0.7752,0.3509,0.4036,0.7300,0.7622,0.7878,0.0010000,4121,,,
10,0.7875,0.7063,0.6146,0.7635,0.6621,0.6849,0.0010000,4642,0.7695,0.6617,0.6843
11,0.7988,0.7072,0.7441,0.7926,0.5842,0.6018,0.0009044,5084,,,
12,0.7974,0.8215,0.6391,0.8126,0.5345,0.5476,0.0009044,5525,,,
13,0.8057,0.7064,0.6886,0.8277,0.5000,0.5111,0.0009044,5965,,,
14,0.8284,0.6011,0.5669,0.8367,0.4736,0.4832,0.0009044,6403,,,
15,0.8284,0.3194,0.3947,0.8447,0.4499,0.4605,0.0009044,6841,,,
16,0.8186,0.3010,0.3776,0.8567,0.4303,0.4394,0.0009044,7279,,,
17,0.8388,0.4634,0.4956,0.8637,0.4157,0.4226,0.0009044,7715,,,
18,0.8377,0.4192,0.4055,0.8722,0.4013,0.4079,0.0009044,8151,,,
19,0.8483,0.2848,0.3338,0.8783,0.3866,0.3930,0.0009044,8586,,,
20,0.8338,0.3768,0.3742,0.8808,0.3759,0.3818,0.0009044,9099,0.8677,0.3906,0.3905
21,0.8574,0.4163,0.4447,0.8863,0.3683,0.3716,0.0008179,9534,,,
22,0.8550,0.4630,0.4376,0.8843,0.3626,0.3640,0.0008179,9966,,,
23,0.8546,0.5101,0.4842,0.8853,0.3561,0.3563,0.0008179,10397,,,
24,0.8587,0.2544,0.3129,0.8873,0.3521,0.3507,0.0008179,10828,,,
25,0.8651,0.3707,0.4196,0.8898,0.3447,0.3438,0.0008179,11259,,,
26,0.8618,0.3654,0.3536,0.8883,0.3384,0.3366,0.0008179,11688,,,
27,0.8630,0.4329,0.3839,0.8918,0.3339,0.3308,0.0008179,12116,,,
28,0.8684,0.2029,0.2527,0.8923,0.3301,0.3256,0.0008179,12544,,,
29,0.8706,0.7764,0.6567,0.8938,0.3270,0.3214,0.0008179,12972,,,
30,0.8724,0.2343,0.2375,0.8908,0.3242,0.3173,0.0008179,13478,0.8805,0.3468,0.3353
31,0.8773,0.2957,0.3775,0.8878,0.3211,0.3135,0.0007397,13906,,,
32,0.8798,0.5235,0.3880,0.8878,0.3187,0.3096,0.0007397,14334,,,
33,0.8852,0.2580,0.2916,0.8928,0.3175,0.3074,0.0007397,14761,,,
34,0.8845,0.2986,0.3629,0.8943,0.3154,0.3046,0.0007397,15188,,,
35,0.8847,0.4141,0.3479,0.8968,0.3128,0.3009,0.0007397,15617,,,
36,0.8797,0.3252,0.3372,0.8983,0.3124,0.3000,0.0007397,16045,,,
37,0.8904,0.1763,0.2124,0.8973,0.3104,0.2960,0.0007397,16471,,,
38,0.8954,0.4016,0.2996,0.8993,0.3094,0.2933,0.0007397,16899,,,
39,0.8910,0.0847,0.1421,0.8998,0.3076,0.2905,0.0007397,17326,,,
40,0.8883,0.1691,0.2468,0.9018,0.3080,0.2890,0.0007397,17833,0.8891,0.3242,0.3099
41,0.8952,0.4386,0.3400,0.9028,0.3059,0.2869,0.0006690,18261,,,
42,0.9003,0.2455,0.2443,0.9028,0.3014,0.2821,0.0006690,18687,,,
43,0.8988,0.3201,0.3426,0.9008,0.3023,0.2807,0.0006690,19112,,,
44,0.9004,0.2715,0.3213,0.9018,0.3037,0.2802,0.0006690,19539,,,
45,0.8995,0.1888,0.2285,0.9033,0.3050,0.2803,0.0006690,19964,,,
46,0.8962,0.4401,0.3412,0.9028,0.3047,0.2795,0.0006690,20389,,,
47,0.8983,0.0763,0.1090,0.9038,0.3035,0.2790,0.0006690,20815,,,
48,0.9020,0.3712,0.3195,0.9003,0.3044,0.2785,0.0006690,21240,,,
49,0.9005,0.2482,0.2507,0.8988,0.3027,0.2774,0.0006690,21664,,,
50,0.9024,0.3471,0.2543,0.9013,0.3015,0.2756,0.0006690,22167,0.8935,0.3085,0.2880
FINAL TEST,,,,,,,,22245,0.8934,0.3101,0.2923
