epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.8100,0.4703,0.4738,0.8371,0.4419,0.4877,0.0010000,90,,,
2,0.8493,0.4633,0.4723,0.8463,0.4253,0.4748,0.0010000,173,,,
3,0.8496,0.3256,0.3666,0.8555,0.4058,0.4592,0.0010000,256,,,
4,0.8660,0.3460,0.3580,0.8649,0.3874,0.4443,0.0010000,338,,,
5,0.8675,0.2719,0.2863,0.8733,0.3714,0.4283,0.0010000,419,,,
6,0.8787,0.2827,0.2942,0.8791,0.3559,0.4109,0.0010000,501,,,
7,0.8857,0.2596,0.2973,0.8879,0.3403,0.3934,0.0010000,581,,,
8,0.8833,0.3883,0.3492,0.8921,0.3246,0.3759,0.0010000,662,,,
9,0.8829,0.2549,0.2841,0.8957,0.3099,0.3568,0.0010000,742,,,
10,0.8907,0.1964,0.2051,0.8987,0.2965,0.3394,0.0010000,832,0.8983,0.2785,0.3329
11,0.8745,0.4301,0.4063,0.9009,0.2849,0.3235,0.0009044,912,,,
12,0.8872,0.2747,0.3256,0.9037,0.2772,0.3140,0.0009044,992,,,
13,0.9046,0.1765,0.1691,0.9041,0.2715,0.3054,0.0009044,1072,,,
14,0.9005,0.2184,0.2887,0.9061,0.2664,0.2982,0.0009044,1152,,,
15,0.8888,0.2827,0.2513,0.9073,0.2609,0.2925,0.0009044,1231,,,
16,0.9015,0.2634,0.2557,0.9077,0.2567,0.2885,0.0009044,1310,,,
17,0.9039,0.3090,0.2457,0.9087,0.2535,0.2835,0.0009044,1390,,,
18,0.9111,0.1443,0.1981,0.9099,0.2502,0.2800,0.0009044,1469,,,
19,0.9084,0.2311,0.2473,0.9119,0.2482,0.2773,0.0009044,1549,,,
20,0.8959,0.1800,0.2386,0.9117,0.2462,0.2758,0.0009044,1638,0.9225,0.2175,0.2568
21,0.9017,0.2163,0.2475,0.9139,0.2433,0.2729,0.0008179,1718,,,
22,0.9119,0.2269,0.2329,0.9123,0.2412,0.2690,0.0008179,1797,,,
23,0.9065,0.2212,0.2557,0.9149,0.2393,0.2671,0.0008179,1876,,,
24,0.9049,0.2836,0.2956,0.9147,0.2373,0.2647,0.0008179,1955,,,
25,0.9100,0.2702,0.2637,0.9175,0.2360,0.2628,0.0008179,2035,,,
26,0.9086,0.1727,0.2224,0.9161,0.2348,0.2617,0.0008179,2113,,,
27,0.9148,0.2878,0.2291,0.9165,0.2325,0.2591,0.0008179,2192,,,
28,0.9095,0.2222,0.2454,0.9165,0.2312,0.2565,0.0008179,2272,,,
29,0.9167,0.1054,0.1428,0.9173,0.2287,0.2533,0.0008179,2351,,,
30,0.9184,0.1968,0.2424,0.9185,0.2271,0.2504,0.0008179,2439,0.9267,0.1976,0.2300
31,0.9179,0.2224,0.2505,0.9177,0.2254,0.2470,0.0007397,2518,,,
32,0.9178,0.1874,0.2317,0.9195,0.2240,0.2455,0.0007397,2597,,,
33,0.9192,0.2131,0.1749,0.9191,0.2240,0.2441,0.0007397,2676,,,
34,0.9187,0.2379,0.2364,0.9203,0.2230,0.2419,0.0007397,2756,,,
35,0.9207,0.2858,0.2347,0.9199,0.2219,0.2400,0.0007397,2834,,,
36,0.9138,0.1942,0.1843,0.9193,0.2211,0.2375,0.0007397,2913,,,
37,0.9145,0.1320,0.1496,0.9193,0.2219,0.2392,0.0007397,2992,,,
38,0.9200,0.1588,0.2010,0.9191,0.2216,0.2376,0.0007397,3073,,,
39,0.9171,0.1795,0.1944,0.9201,0.2215,0.2371,0.0007397,3152,,,
40,0.9193,0.2272,0.2216,0.9207,0.2211,0.2370,0.0007397,3240,0.9315,0.1892,0.2157
41,0.9142,0.2680,0.2595,0.9207,0.2210,0.2363,0.0006690,3319,,,
42,0.9200,0.2018,0.1993,0.9207,0.2208,0.2362,0.0006690,3398,,,
43,0.9275,0.1944,0.2119,0.9205,0.2196,0.2356,0.0006690,3477,,,
44,0.9145,0.1638,0.1947,0.9221,0.2194,0.2356,0.0006690,3556,,,
45,0.9231,0.1556,0.1671,0.9243,0.2167,0.2332,0.0006690,3635,,,
46,0.9264,0.1232,0.1584,0.9251,0.2157,0.2323,0.0006690,3714,,,
47,0.9246,0.1117,0.1529,0.9253,0.2148,0.2294,0.0006690,3793,,,
48,0.9291,0.1483,0.1731,0.9257,0.2140,0.2294,0.0006690,3873,,,
49,0.9321,0.1393,0.1500,0.9255,0.2125,0.2277,0.0006690,3952,,,
50,0.9255,0.1769,0.2112,0.9255,0.2120,0.2257,0.0006690,4040,0.9333,0.1835,0.2059
