epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4124,1.6913,1.4640,0.4766,1.4511,1.2883,0.0010000,265,,,
2,0.5026,1.4739,1.2699,0.4941,1.4106,1.2673,0.0010000,515,,,
3,0.5252,1.4168,1.2349,0.5127,1.3692,1.2429,0.0010000,762,,,
4,0.5702,1.2512,1.0696,0.5352,1.3134,1.2170,0.0010000,1005,,,
5,0.5929,1.1908,1.1204,0.5602,1.2577,1.1924,0.0010000,1245,,,
6,0.6021,1.0477,0.9438,0.5846,1.1942,1.1557,0.0010000,1481,,,
7,0.6384,1.0360,0.9587,0.6139,1.1246,1.1063,0.0010000,1720,,,
8,0.6691,1.1203,0.9394,0.6447,1.0478,1.0459,0.0010000,1957,,,
9,0.6634,0.8614,0.7899,0.6693,0.9772,0.9782,0.0010000,2191,,,
10,0.6665,1.0169,0.8859,0.6906,0.9113,0.9073,0.0010000,2498,0.6860,0.9167,0.9097
11,0.6847,0.9663,0.8423,0.7108,0.8503,0.8359,0.0009044,2731,,,
12,0.6965,1.1418,0.8261,0.7264,0.8060,0.7830,0.0009044,2966,,,
13,0.6999,0.7212,0.7066,0.7402,0.7681,0.7424,0.0009044,3199,,,
14,0.7135,0.6763,0.6881,0.7489,0.7403,0.7094,0.0009044,3434,,,
15,0.6970,0.7298,0.7158,0.7568,0.7200,0.6851,0.0009044,3671,,,
16,0.7100,0.9124,0.7950,0.7648,0.6988,0.6616,0.0009044,3905,,,
17,0.7093,1.0541,0.9022,0.7682,0.6850,0.6460,0.0009044,4140,,,
18,0.7261,0.9022,0.7400,0.7759,0.6689,0.6286,0.0009044,4375,,,
19,0.7241,0.7104,0.7030,0.7803,0.6515,0.6146,0.0009044,4612,,,
20,0.7391,0.7734,0.7198,0.7858,0.6402,0.6025,0.0009044,4919,0.7792,0.6599,0.6112
21,0.7529,0.6376,0.6316,0.7909,0.6308,0.5896,0.0008179,5152,,,
22,0.7525,0.7028,0.6633,0.7946,0.6227,0.5795,0.0008179,5385,,,
23,0.7489,0.7523,0.6798,0.7974,0.6165,0.5731,0.0008179,5616,,,
24,0.7711,0.7041,0.6595,0.7990,0.6085,0.5654,0.0008179,5847,,,
25,0.7360,0.8124,0.8137,0.8026,0.6007,0.5573,0.0008179,6078,,,
26,0.7506,0.5799,0.5742,0.8065,0.5949,0.5495,0.0008179,6311,,,
27,0.7567,0.6058,0.5984,0.8083,0.5914,0.5440,0.0008179,6542,,,
28,0.7656,0.6988,0.6624,0.8092,0.5860,0.5391,0.0008179,6773,,,
29,0.7708,0.6431,0.5995,0.8088,0.5844,0.5321,0.0008179,7005,,,
30,0.7581,0.7468,0.6994,0.8108,0.5809,0.5280,0.0008179,7315,0.8054,0.5970,0.5342
31,0.7642,0.5912,0.5910,0.8139,0.5749,0.5218,0.0007397,7553,,,
32,0.7633,0.7141,0.6555,0.8167,0.5704,0.5173,0.0007397,7788,,,
33,0.7688,0.5856,0.5739,0.8186,0.5668,0.5118,0.0007397,8025,,,
34,0.7751,0.6546,0.6558,0.8205,0.5626,0.5070,0.0007397,8262,,,
35,0.7739,0.6753,0.6810,0.8208,0.5605,0.5040,0.0007397,8500,,,
36,0.7651,0.6595,0.6280,0.8206,0.5572,0.5016,0.0007397,8737,,,
37,0.7952,0.5418,0.5999,0.8224,0.5486,0.4955,0.0007397,8968,,,
38,0.7691,0.7716,0.7056,0.8233,0.5488,0.4931,0.0007397,9201,,,
39,0.7776,0.4939,0.4947,0.8256,0.5401,0.4884,0.0007397,9432,,,
40,0.7865,0.5025,0.5448,0.8281,0.5361,0.4841,0.0007397,9738,0.8218,0.5590,0.4943
41,0.7897,0.4669,0.4765,0.8295,0.5300,0.4797,0.0006690,9971,,,
42,0.7876,0.5912,0.5785,0.8290,0.5258,0.4767,0.0006690,10203,,,
43,0.7843,0.5388,0.5672,0.8306,0.5261,0.4761,0.0006690,10435,,,
44,0.7859,0.4407,0.4228,0.8306,0.5222,0.4736,0.0006690,10670,,,
45,0.7934,0.6802,0.6469,0.8294,0.5205,0.4715,0.0006690,10904,,,
46,0.7899,0.5733,0.5606,0.8311,0.5193,0.4692,0.0006690,11139,,,
47,0.7959,0.5983,0.5164,0.8319,0.5188,0.4682,0.0006690,11373,,,
48,0.8082,0.6148,0.6090,0.8339,0.5120,0.4644,0.0006690,11609,,,
49,0.8069,0.5359,0.5127,0.8340,0.5124,0.4634,0.0006690,11842,,,
50,0.8001,0.4802,0.5080,0.8321,0.5132,0.4619,0.0006690,12144,0.8302,0.5304,0.4708
