epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4661,1.3917,1.2444,0.5490,1.2741,1.1802,0.0010000,262,,,
2,0.5485,1.0285,1.0337,0.5601,1.2324,1.1573,0.0010000,514,,,
3,0.5924,1.1408,1.0833,0.5746,1.1863,1.1340,0.0010000,755,,,
4,0.6276,1.1211,1.0266,0.5906,1.1356,1.1105,0.0010000,995,,,
5,0.6551,0.8297,0.8051,0.6121,1.0822,1.0802,0.0010000,1236,,,
6,0.6717,1.0289,0.9828,0.6361,1.0252,1.0441,0.0010000,1465,,,
7,0.6792,0.9970,0.9628,0.6647,0.9638,0.9968,0.0010000,1690,,,
8,0.6907,0.6384,0.7357,0.6852,0.8982,0.9402,0.0010000,1916,,,
9,0.7027,0.7820,0.7757,0.7077,0.8323,0.8724,0.0010000,2140,,,
10,0.7136,0.8909,0.8056,0.7277,0.7701,0.8022,0.0010000,2434,0.7414,0.7672,0.7949
11,0.7220,0.7130,0.6891,0.7467,0.7178,0.7344,0.0009044,2653,,,
12,0.7316,0.7315,0.6861,0.7643,0.6785,0.6910,0.0009044,2864,,,
13,0.7398,0.6186,0.6693,0.7798,0.6488,0.6574,0.0009044,3077,,,
14,0.7394,0.7068,0.7283,0.7823,0.6240,0.6313,0.0009044,3290,,,
15,0.7437,0.9769,0.7680,0.7883,0.6033,0.6093,0.0009044,3497,,,
16,0.7513,0.6652,0.6326,0.7948,0.5876,0.5906,0.0009044,3694,,,
17,0.7482,0.6959,0.6412,0.7963,0.5732,0.5752,0.0009044,3901,,,
18,0.7632,0.5231,0.5936,0.8023,0.5610,0.5610,0.0009044,4107,,,
19,0.7631,0.5465,0.5727,0.8078,0.5489,0.5481,0.0009044,4316,,,
20,0.7662,0.6912,0.6820,0.8153,0.5387,0.5395,0.0009044,4600,0.8163,0.5502,0.5363
21,0.7644,0.6621,0.6827,0.8168,0.5322,0.5320,0.0008179,4811,,,
22,0.7709,0.6801,0.6803,0.8213,0.5256,0.5241,0.0008179,5021,,,
23,0.7734,0.8045,0.7454,0.8233,0.5189,0.5167,0.0008179,5228,,,
24,0.7771,0.5298,0.5180,0.8228,0.5153,0.5119,0.0008179,5434,,,
25,0.7735,0.6371,0.6513,0.8253,0.5091,0.5062,0.0008179,5643,,,
26,0.7810,0.5465,0.6060,0.8273,0.5027,0.5008,0.0008179,5851,,,
27,0.7807,0.6008,0.6305,0.8263,0.4982,0.4946,0.0008179,6059,,,
28,0.7840,0.5202,0.5537,0.8318,0.4935,0.4909,0.0008179,6266,,,
29,0.7860,0.4507,0.5234,0.8323,0.4905,0.4887,0.0008179,6474,,,
30,0.7913,0.5391,0.4774,0.8363,0.4824,0.4800,0.0008179,6752,0.8384,0.4929,0.4740
31,0.7959,0.4918,0.5293,0.8403,0.4780,0.4731,0.0007397,6957,,,
32,0.8012,0.6817,0.6136,0.8398,0.4766,0.4696,0.0007397,7154,,,
33,0.7992,0.7948,0.7022,0.8388,0.4763,0.4666,0.0007397,7356,,,
34,0.7950,0.5295,0.4607,0.8403,0.4717,0.4638,0.0007397,7557,,,
35,0.7998,0.6134,0.6433,0.8408,0.4703,0.4616,0.0007397,7758,,,
36,0.8041,0.3276,0.3968,0.8428,0.4715,0.4601,0.0007397,7956,,,
37,0.8017,0.4739,0.5014,0.8398,0.4763,0.4601,0.0007397,8156,,,
38,0.8029,0.6774,0.5652,0.8443,0.4725,0.4560,0.0007397,8356,,,
39,0.8098,0.4311,0.4037,0.8418,0.4711,0.4535,0.0007397,8555,,,
40,0.8022,0.4269,0.4775,0.8428,0.4717,0.4536,0.0007397,8828,0.8498,0.4688,0.4432
41,0.8032,0.8400,0.7538,0.8433,0.4686,0.4521,0.0006690,9024,,,
42,0.8073,0.7641,0.6091,0.8438,0.4675,0.4499,0.0006690,9223,,,
43,0.8126,0.4065,0.4692,0.8473,0.4660,0.4479,0.0006690,9419,,,
44,0.8135,0.5527,0.5803,0.8473,0.4602,0.4430,0.0006690,9616,,,
45,0.8146,0.3198,0.3743,0.8488,0.4594,0.4398,0.0006690,9812,,,
46,0.8162,0.4898,0.5314,0.8488,0.4579,0.4376,0.0006690,10009,,,
47,0.8140,0.7267,0.6313,0.8483,0.4535,0.4344,0.0006690,10207,,,
48,0.8221,0.5692,0.5053,0.8488,0.4531,0.4329,0.0006690,10404,,,
49,0.8140,0.4539,0.5033,0.8498,0.4505,0.4313,0.0006690,10601,,,
50,0.8137,0.5418,0.5846,0.8473,0.4472,0.4294,0.0006690,10872,0.8571,0.4433,0.4204
FINAL TEST,,,,,,,,10948,0.8563,0.4463,0.4223
