epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4612,1.4538,1.2853,0.5316,1.3134,1.1575,0.0010000,161,,,
2,0.5451,1.5655,1.2797,0.5531,1.2683,1.1305,0.0010000,317,,,
3,0.6139,1.2517,1.0800,0.5646,1.2214,1.1008,0.0010000,468,,,
4,0.6475,1.2124,1.0124,0.5787,1.1736,1.0673,0.0010000,614,,,
5,0.6844,0.9975,0.8162,0.5917,1.1208,1.0297,0.0010000,757,,,
6,0.6948,1.0027,0.9391,0.6132,1.0640,0.9825,0.0010000,897,,,
7,0.7081,0.9114,0.8438,0.6488,0.9938,0.9258,0.0010000,1035,,,
8,0.7132,0.9807,0.8272,0.6809,0.9142,0.8569,0.0010000,1171,,,
9,0.7271,0.8207,0.7382,0.7039,0.8275,0.7816,0.0010000,1306,,,
10,0.7394,0.6425,0.6334,0.7350,0.7562,0.7075,0.0010000,1481,0.7345,0.7625,0.7034
11,0.7550,0.5759,0.6123,0.7555,0.6973,0.6431,0.0009044,1613,,,
12,0.7573,0.7797,0.6228,0.7685,0.6556,0.6017,0.0009044,1745,,,
13,0.7580,0.7154,0.6949,0.7806,0.6297,0.5726,0.0009044,1876,,,
14,0.7672,0.6627,0.6282,0.7946,0.6049,0.5465,0.0009044,2006,,,
15,0.7733,0.4549,0.5039,0.8016,0.5874,0.5268,0.0009044,2136,,,
16,0.7677,0.7191,0.6876,0.8071,0.5664,0.5110,0.0009044,2266,,,
17,0.7781,0.6382,0.6646,0.8096,0.5543,0.4989,0.0009044,2394,,,
18,0.7776,0.6123,0.5864,0.8126,0.5432,0.4867,0.0009044,2522,,,
19,0.7809,0.7191,0.6541,0.8211,0.5364,0.4775,0.0009044,2649,,,
20,0.7849,0.4985,0.5363,0.8257,0.5236,0.4677,0.0009044,2818,0.8322,0.5225,0.4643
21,0.7933,0.5524,0.5213,0.8252,0.5154,0.4614,0.0008179,2944,,,
22,0.7999,0.6093,0.5880,0.8297,0.5090,0.4545,0.0008179,3071,,,
23,0.7952,0.7514,0.6090,0.8292,0.5023,0.4490,0.0008179,3196,,,
24,0.7988,0.3649,0.4302,0.8277,0.4975,0.4457,0.0008179,3321,,,
25,0.8002,0.5403,0.6004,0.8322,0.4879,0.4398,0.0008179,3447,,,
26,0.8011,0.6052,0.5758,0.8357,0.4843,0.4355,0.0008179,3572,,,
27,0.8042,0.6709,0.6127,0.8397,0.4782,0.4306,0.0008179,3697,,,
28,0.7987,0.7394,0.6761,0.8427,0.4708,0.4275,0.0008179,3821,,,
29,0.8087,0.5772,0.5593,0.8417,0.4655,0.4249,0.0008179,3945,,,
30,0.8042,0.5773,0.5369,0.8442,0.4632,0.4227,0.0008179,4110,0.8498,0.4720,0.4173
31,0.8119,0.5609,0.5335,0.8437,0.4584,0.4198,0.0007397,4233,,,
32,0.8133,0.6091,0.6192,0.8472,0.4560,0.4180,0.0007397,4357,,,
33,0.8173,0.4446,0.5145,0.8517,0.4510,0.4145,0.0007397,4480,,,
34,0.8156,0.4027,0.4485,0.8502,0.4488,0.4122,0.0007397,4602,,,
35,0.8205,0.4539,0.4621,0.8482,0.4481,0.4105,0.0007397,4725,,,
36,0.8212,0.4398,0.4874,0.8477,0.4510,0.4098,0.0007397,4848,,,
37,0.8175,0.6051,0.6070,0.8482,0.4479,0.4075,0.0007397,4970,,,
38,0.8176,0.5727,0.5567,0.8517,0.4439,0.4030,0.0007397,5092,,,
39,0.8165,0.4225,0.4191,0.8502,0.4425,0.4005,0.0007397,5215,,,
40,0.8192,0.4791,0.4894,0.8517,0.4391,0.3977,0.0007397,5377,0.8591,0.4469,0.3945
41,0.8266,0.7154,0.6711,0.8507,0.4381,0.3960,0.0006690,5499,,,
42,0.8279,0.4785,0.4439,0.8562,0.4324,0.3936,0.0006690,5620,,,
43,0.8319,0.3938,0.3993,0.8562,0.4330,0.3934,0.0006690,5742,,,
44,0.8292,0.4619,0.4630,0.8547,0.4281,0.3907,0.0006690,5862,,,
45,0.8307,0.5904,0.5436,0.8562,0.4236,0.3878,0.0006690,5983,,,
46,0.8326,0.4744,0.5041,0.8547,0.4171,0.3867,0.0006690,6103,,,
47,0.8277,0.5629,0.5080,0.8572,0.4147,0.3854,0.0006690,6224,,,
48,0.8331,0.6646,0.6068,0.8562,0.4130,0.3846,0.0006690,6344,,,
49,0.8292,0.4411,0.4703,0.8587,0.4091,0.3825,0.0006690,6464,,,
50,0.8348,0.4981,0.4679,0.8612,0.4078,0.3813,0.0006690,6626,0.8682,0.4188,0.3738
FINAL TEST,,,,,,,,6668,0.8682,0.4188,0.3738
