epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4251,1.6339,1.3727,0.4979,1.4199,1.1891,0.0010000,252,,,
2,0.5332,1.2327,1.1399,0.5162,1.3684,1.1667,0.0010000,505,,,
3,0.5875,0.9383,0.9812,0.5299,1.3217,1.1386,0.0010000,764,,,
4,0.6254,1.1868,1.1479,0.5460,1.2617,1.1043,0.0010000,1016,,,
5,0.6583,1.0125,0.9888,0.5693,1.1991,1.0591,0.0010000,1268,,,
6,0.6801,0.9768,0.8678,0.5984,1.1259,1.0019,0.0010000,1513,,,
7,0.6999,1.0917,0.9735,0.6288,1.0495,0.9356,0.0010000,1764,,,
8,0.7118,0.8812,0.8608,0.6581,0.9721,0.8619,0.0010000,2013,,,
9,0.7258,0.9460,0.8512,0.6916,0.8815,0.7788,0.0010000,2264,,,
10,0.7387,0.8857,0.7774,0.7235,0.7992,0.6967,0.0010000,2560,0.7216,0.8229,0.7034
11,0.7500,0.7714,0.6481,0.7492,0.7326,0.6229,0.0009044,2808,,,
12,0.7496,0.6164,0.6679,0.7701,0.6873,0.5743,0.0009044,3051,,,
13,0.7629,0.6381,0.5997,0.7852,0.6527,0.5379,0.0009044,3294,,,
14,0.7634,0.5705,0.5253,0.7948,0.6255,0.5096,0.0009044,3537,,,
15,0.7736,0.5354,0.5726,0.8037,0.6052,0.4886,0.0009044,3779,,,
16,0.7762,0.5383,0.5840,0.8111,0.5906,0.4717,0.0009044,4020,,,
17,0.7852,0.6857,0.6432,0.8156,0.5765,0.4562,0.0009044,4267,,,
18,0.7875,0.5626,0.5845,0.8232,0.5609,0.4435,0.0009044,4510,,,
19,0.7876,0.5331,0.4882,0.8272,0.5484,0.4326,0.0009044,4752,,,
20,0.7943,0.6360,0.6436,0.8310,0.5407,0.4231,0.0009044,5042,0.8173,0.5842,0.4409
21,0.8011,0.6987,0.6643,0.8340,0.5315,0.4137,0.0008179,5282,,,
22,0.8048,0.3914,0.4224,0.8361,0.5260,0.4066,0.0008179,5523,,,
23,0.8065,0.5559,0.5630,0.8390,0.5194,0.3995,0.0008179,5760,,,
24,0.8089,0.7006,0.6184,0.8419,0.5133,0.3920,0.0008179,6000,,,
25,0.8117,0.3699,0.4337,0.8428,0.5098,0.3863,0.0008179,6238,,,
26,0.8116,0.5682,0.5286,0.8460,0.5040,0.3808,0.0008179,6480,,,
27,0.8097,0.6083,0.5895,0.8456,0.4998,0.3771,0.0008179,6722,,,
28,0.8168,0.5475,0.4628,0.8472,0.4998,0.3735,0.0008179,6960,,,
29,0.8145,0.6225,0.6280,0.8476,0.5006,0.3709,0.0008179,7196,,,
30,0.8188,0.3134,0.3766,0.8484,0.4966,0.3666,0.0008179,7485,0.8422,0.5340,0.3841
31,0.8268,0.5154,0.5122,0.8502,0.4951,0.3635,0.0007397,7722,,,
32,0.8326,0.4553,0.4211,0.8513,0.4944,0.3605,0.0007397,7960,,,
33,0.8317,0.4811,0.5115,0.8518,0.4938,0.3582,0.0007397,8205,,,
34,0.8237,0.4863,0.4734,0.8529,0.4921,0.3560,0.0007397,8445,,,
35,0.8320,0.6277,0.6096,0.8542,0.4916,0.3534,0.0007397,8689,,,
36,0.8390,0.6509,0.5242,0.8533,0.4923,0.3521,0.0007397,8939,,,
37,0.8336,0.5489,0.5728,0.8549,0.4932,0.3503,0.0007397,9187,,,
38,0.8387,0.5034,0.4638,0.8569,0.4915,0.3481,0.0007397,9444,,,
39,0.8414,0.5761,0.5321,0.8558,0.4936,0.3474,0.0007397,9699,,,
40,0.8369,0.5375,0.4922,0.8564,0.4915,0.3463,0.0007397,10007,0.8500,0.5195,0.3606
41,0.8470,0.2914,0.3628,0.8564,0.4880,0.3441,0.0006690,10260,,,
42,0.8399,0.3505,0.3686,0.8580,0.4857,0.3429,0.0006690,10514,,,
43,0.8441,0.3977,0.4228,0.8584,0.4847,0.3414,0.0006690,10766,,,
44,0.8427,0.3641,0.4037,0.8605,0.4844,0.3400,0.0006690,11015,,,
45,0.8511,0.4399,0.4490,0.8623,0.4794,0.3380,0.0006690,11266,,,
46,0.8552,0.3288,0.3335,0.8618,0.4780,0.3375,0.0006690,11520,,,
47,0.8491,0.3155,0.3805,0.8619,0.4751,0.3358,0.0006690,11778,,,
48,0.8572,0.4208,0.3305,0.8625,0.4722,0.3341,0.0006690,12035,,,
49,0.8483,0.4335,0.4832,0.8634,0.4674,0.3326,0.0006690,12293,,,
50,0.8538,0.4406,0.3852,0.8641,0.4689,0.3315,0.0006690,12604,0.8576,0.4941,0.3441
