epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4781,1.4294,1.2476,0.5566,1.2864,1.0912,0.0010000,243,,,
2,0.5579,1.2967,1.1859,0.5641,1.2348,1.0727,0.0010000,471,,,
3,0.5995,0.9965,0.9699,0.5851,1.1821,1.0536,0.0010000,690,,,
4,0.6301,1.0579,0.9934,0.6061,1.1243,1.0331,0.0010000,904,,,
5,0.6567,0.9431,0.9106,0.6196,1.0648,1.0065,0.0010000,1110,,,
6,0.6796,0.7473,0.7738,0.6436,1.0057,0.9763,0.0010000,1313,,,
7,0.6934,0.6727,0.7574,0.6612,0.9386,0.9325,0.0010000,1516,,,
8,0.7020,0.8495,0.8305,0.6892,0.8700,0.8799,0.0010000,1714,,,
9,0.7194,0.9314,0.8629,0.7107,0.8040,0.8178,0.0010000,1912,,,
10,0.7310,1.0003,0.8823,0.7372,0.7447,0.7501,0.0010000,2157,0.7422,0.7426,0.7437
11,0.7335,0.6337,0.6571,0.7503,0.6978,0.6799,0.0009044,2349,,,
12,0.7458,0.6202,0.6421,0.7708,0.6672,0.6315,0.0009044,2541,,,
13,0.7523,0.7364,0.7296,0.7773,0.6435,0.5959,0.0009044,2732,,,
14,0.7601,0.5396,0.5377,0.7798,0.6256,0.5673,0.0009044,2923,,,
15,0.7596,0.5968,0.6363,0.7868,0.6146,0.5491,0.0009044,3111,,,
16,0.7604,0.5423,0.6130,0.7913,0.6040,0.5329,0.0009044,3299,,,
17,0.7683,0.3881,0.4611,0.7958,0.5923,0.5213,0.0009044,3488,,,
18,0.7725,0.8303,0.7639,0.8003,0.5821,0.5093,0.0009044,3673,,,
19,0.7680,0.6464,0.6840,0.8083,0.5733,0.4968,0.0009044,3859,,,
20,0.7762,0.3796,0.5066,0.8098,0.5631,0.4868,0.0009044,4094,0.8153,0.5595,0.4807
21,0.7818,0.6850,0.6243,0.8108,0.5591,0.4783,0.0008179,4278,,,
22,0.7823,0.6253,0.6629,0.8133,0.5485,0.4695,0.0008179,4462,,,
23,0.7891,0.6978,0.6884,0.8198,0.5455,0.4628,0.0008179,4646,,,
24,0.7928,0.4192,0.5116,0.8233,0.5431,0.4577,0.0008179,4829,,,
25,0.7992,0.5752,0.5419,0.8258,0.5410,0.4515,0.0008179,5011,,,
26,0.7961,0.4803,0.5143,0.8258,0.5343,0.4446,0.0008179,5192,,,
27,0.8005,0.6841,0.7095,0.8308,0.5278,0.4380,0.0008179,5374,,,
28,0.8029,0.4924,0.5581,0.8303,0.5259,0.4336,0.0008179,5555,,,
29,0.8026,0.4981,0.5292,0.8278,0.5234,0.4275,0.0008179,5736,,,
30,0.7997,0.7306,0.6270,0.8308,0.5197,0.4246,0.0008179,5968,0.8381,0.5034,0.4144
31,0.8045,0.3547,0.4350,0.8338,0.5136,0.4212,0.0007397,6147,,,
32,0.8114,0.7187,0.5974,0.8343,0.5087,0.4167,0.0007397,6329,,,
33,0.8143,0.4565,0.5181,0.8333,0.5056,0.4137,0.0007397,6510,,,
34,0.8214,0.3183,0.4376,0.8368,0.5036,0.4102,0.0007397,6690,,,
35,0.8172,0.6093,0.5828,0.8388,0.5007,0.4079,0.0007397,6869,,,
36,0.8182,0.4764,0.4402,0.8383,0.4985,0.4045,0.0007397,7048,,,
37,0.8175,0.5118,0.5259,0.8383,0.4948,0.4010,0.0007397,7227,,,
38,0.8214,0.4356,0.4291,0.8403,0.4926,0.3977,0.0007397,7404,,,
39,0.8248,0.7104,0.6019,0.8413,0.4913,0.3968,0.0007397,7582,,,
40,0.8206,0.4520,0.4821,0.8443,0.4948,0.3934,0.0007397,7810,0.8480,0.4776,0.3831
41,0.8309,0.3178,0.3649,0.8448,0.4931,0.3895,0.0006690,7986,,,
42,0.8321,0.5968,0.5399,0.8443,0.4921,0.3885,0.0006690,8161,,,
43,0.8303,0.7168,0.6293,0.8463,0.4902,0.3849,0.0006690,8336,,,
44,0.8391,0.3962,0.4577,0.8483,0.4859,0.3824,0.0006690,8513,,,
45,0.8321,0.3565,0.3634,0.8498,0.4835,0.3810,0.0006690,8689,,,
46,0.8390,0.4911,0.4846,0.8498,0.4826,0.3799,0.0006690,8864,,,
47,0.8321,0.3325,0.3761,0.8493,0.4872,0.3791,0.0006690,9039,,,
48,0.8359,0.6683,0.6624,0.8519,0.4856,0.3773,0.0006690,9213,,,
49,0.8384,0.3305,0.3303,0.8504,0.4837,0.3762,0.0006690,9387,,,
50,0.8431,0.4627,0.4984,0.8498,0.4832,0.3736,0.0006690,9610,0.8580,0.4545,0.3608
FINAL TEST,,,,,,,,9660,0.8563,0.4566,0.3650
