epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4750,1.3975,1.2741,0.5410,1.2901,1.1447,0.0010000,155,,,
2,0.5652,1.0570,1.0416,0.5611,1.2379,1.1178,0.0010000,300,,,
3,0.6175,1.0810,1.0452,0.5786,1.1788,1.0902,0.0010000,440,,,
4,0.6370,0.9232,0.8616,0.6061,1.1169,1.0609,0.0010000,575,,,
5,0.6617,0.8872,0.8609,0.6336,1.0596,1.0311,0.0010000,705,,,
6,0.6864,0.9485,0.8741,0.6542,0.9924,0.9889,0.0010000,834,,,
7,0.6993,0.7640,0.7237,0.6787,0.9280,0.9397,0.0010000,960,,,
8,0.7099,0.6678,0.6471,0.7012,0.8629,0.8819,0.0010000,1086,,,
9,0.7149,1.1936,1.0326,0.7162,0.7959,0.8144,0.0010000,1209,,,
10,0.7340,0.5242,0.5967,0.7332,0.7389,0.7422,0.0010000,1362,0.7509,0.7221,0.7324
11,0.7455,0.8308,0.7135,0.7538,0.6970,0.6717,0.0009044,1483,,,
12,0.7584,0.7787,0.7804,0.7638,0.6625,0.6261,0.0009044,1603,,,
13,0.7472,0.5265,0.5541,0.7788,0.6322,0.5928,0.0009044,1722,,,
14,0.7580,0.5037,0.5239,0.7853,0.6126,0.5660,0.0009044,1841,,,
15,0.7701,0.7337,0.6798,0.7983,0.5940,0.5438,0.0009044,1960,,,
16,0.7676,0.6648,0.7089,0.8003,0.5819,0.5284,0.0009044,2079,,,
17,0.7673,0.7502,0.6663,0.8078,0.5661,0.5120,0.0009044,2196,,,
18,0.7741,0.7668,0.6213,0.8043,0.5573,0.4982,0.0009044,2314,,,
19,0.7770,0.6957,0.7010,0.8088,0.5447,0.4857,0.0009044,2430,,,
20,0.7846,0.5577,0.5767,0.8158,0.5359,0.4759,0.0009044,2576,0.8199,0.5402,0.4675
21,0.7936,0.6339,0.6421,0.8238,0.5250,0.4648,0.0008179,2691,,,
22,0.7880,0.5818,0.5733,0.8258,0.5203,0.4580,0.0008179,2807,,,
23,0.7929,0.5808,0.5543,0.8328,0.5143,0.4499,0.0008179,2922,,,
24,0.7982,0.5297,0.4813,0.8298,0.5099,0.4448,0.0008179,3036,,,
25,0.7994,0.6607,0.5567,0.8333,0.5128,0.4411,0.0008179,3151,,,
26,0.8067,0.3007,0.3768,0.8333,0.5058,0.4350,0.0008179,3264,,,
27,0.8057,0.5228,0.5159,0.8333,0.5048,0.4312,0.0008179,3378,,,
28,0.8059,0.5450,0.5933,0.8313,0.5018,0.4295,0.0008179,3490,,,
29,0.8035,0.5762,0.5723,0.8313,0.4995,0.4255,0.0008179,3604,,,
30,0.8091,0.6614,0.6309,0.8368,0.4965,0.4229,0.0008179,3747,0.8414,0.5014,0.4149
31,0.8168,0.3728,0.3626,0.8353,0.4951,0.4198,0.0007397,3859,,,
32,0.8151,0.5725,0.5846,0.8353,0.4921,0.4175,0.0007397,3971,,,
33,0.8191,0.4498,0.5374,0.8363,0.4878,0.4119,0.0007397,4083,,,
34,0.8187,0.3887,0.4414,0.8373,0.4909,0.4101,0.0007397,4194,,,
35,0.8209,0.4427,0.4062,0.8413,0.4864,0.4076,0.0007397,4306,,,
36,0.8161,0.4169,0.4616,0.8388,0.4853,0.4067,0.0007397,4417,,,
37,0.8289,0.3749,0.4420,0.8368,0.4890,0.4078,0.0007397,4528,,,
38,0.8220,0.4924,0.4257,0.8383,0.4855,0.4031,0.0007397,4638,,,
39,0.8257,0.5118,0.4677,0.8413,0.4843,0.3988,0.0007397,4749,,,
40,0.8243,0.3479,0.4254,0.8463,0.4771,0.3925,0.0007397,4890,0.8511,0.4832,0.3847
41,0.8367,0.4694,0.4391,0.8443,0.4780,0.3904,0.0006690,5000,,,
42,0.8367,0.4833,0.4803,0.8428,0.4758,0.3866,0.0006690,5111,,,
43,0.8348,0.4631,0.5044,0.8428,0.4732,0.3839,0.0006690,5221,,,
44,0.8352,0.5295,0.5119,0.8478,0.4670,0.3811,0.0006690,5332,,,
45,0.8352,0.5548,0.4411,0.8468,0.4676,0.3789,0.0006690,5443,,,
46,0.8320,0.6278,0.5710,0.8498,0.4647,0.3745,0.0006690,5554,,,
47,0.8353,0.3275,0.3747,0.8509,0.4608,0.3703,0.0006690,5664,,,
48,0.8356,0.4315,0.4335,0.8498,0.4602,0.3697,0.0006690,5775,,,
49,0.8344,0.6059,0.5335,0.8529,0.4611,0.3687,0.0006690,5885,,,
50,0.8420,0.3880,0.4452,0.8488,0.4669,0.3699,0.0006690,6026,0.8569,0.4710,0.3636
FINAL TEST,,,,,,,,6056,0.8573,0.4695,0.3641
