epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4119,1.5005,1.3870,0.4850,1.4351,1.2173,0.0010000,157,,,
2,0.5104,1.3351,1.1959,0.5015,1.3956,1.1942,0.0010000,309,,,
3,0.5634,1.4441,1.2574,0.5180,1.3439,1.1628,0.0010000,458,,,
4,0.6072,1.1352,1.1048,0.5356,1.2949,1.1276,0.0010000,603,,,
5,0.6453,1.1435,1.0210,0.5556,1.2447,1.0870,0.0010000,744,,,
6,0.6678,0.6654,0.7061,0.5752,1.1855,1.0387,0.0010000,883,,,
7,0.6902,0.8344,0.8217,0.6027,1.1139,0.9777,0.0010000,1018,,,
8,0.7056,0.7522,0.7173,0.6413,1.0289,0.9048,0.0010000,1152,,,
9,0.7180,0.9292,0.8120,0.6789,0.9352,0.8175,0.0010000,1283,,,
10,0.7278,0.9027,0.7466,0.7214,0.8407,0.7234,0.0010000,1441,0.7149,0.8328,0.7178
11,0.7352,0.9159,0.8689,0.7490,0.7621,0.6356,0.0009044,1570,,,
12,0.7537,0.4658,0.5720,0.7675,0.7126,0.5796,0.0009044,1696,,,
13,0.7560,0.7128,0.6608,0.7776,0.6821,0.5438,0.0009044,1823,,,
14,0.7621,0.5762,0.5697,0.7886,0.6532,0.5160,0.0009044,1949,,,
15,0.7652,0.5611,0.5950,0.7966,0.6307,0.4942,0.0009044,2074,,,
16,0.7699,0.5120,0.6194,0.8046,0.6081,0.4761,0.0009044,2199,,,
17,0.7783,0.4349,0.4731,0.8136,0.5906,0.4611,0.0009044,2323,,,
18,0.7847,0.5668,0.5802,0.8221,0.5744,0.4466,0.0009044,2446,,,
19,0.7849,0.5250,0.5394,0.8246,0.5573,0.4348,0.0009044,2569,,,
20,0.7833,0.5190,0.5484,0.8292,0.5490,0.4260,0.0009044,2717,0.8251,0.5606,0.4303
21,0.7924,0.5669,0.5157,0.8337,0.5381,0.4176,0.0008179,2838,,,
22,0.7894,0.5333,0.5985,0.8367,0.5306,0.4107,0.0008179,2959,,,
23,0.7992,0.6746,0.6593,0.8392,0.5225,0.4043,0.0008179,3080,,,
24,0.8023,0.4377,0.4336,0.8402,0.5131,0.3969,0.0008179,3199,,,
25,0.8006,0.3475,0.4116,0.8442,0.5055,0.3910,0.0008179,3319,,,
26,0.8022,0.7176,0.6612,0.8427,0.4996,0.3869,0.0008179,3438,,,
27,0.8072,0.7670,0.6813,0.8462,0.4965,0.3820,0.0008179,3558,,,
28,0.8055,0.7099,0.6761,0.8492,0.4969,0.3809,0.0008179,3677,,,
29,0.8078,0.7316,0.5414,0.8482,0.4971,0.3802,0.0008179,3795,,,
30,0.8102,0.4124,0.4788,0.8457,0.4960,0.3783,0.0008179,3940,0.8449,0.5038,0.3772
31,0.8207,0.3794,0.4770,0.8477,0.4921,0.3736,0.0007397,4057,,,
32,0.8201,0.6895,0.5408,0.8482,0.4855,0.3679,0.0007397,4174,,,
33,0.8220,0.5298,0.4959,0.8502,0.4810,0.3642,0.0007397,4291,,,
34,0.8200,0.4749,0.5754,0.8562,0.4803,0.3628,0.0007397,4408,,,
35,0.8262,0.5237,0.4872,0.8552,0.4763,0.3603,0.0007397,4524,,,
36,0.8353,0.5291,0.5145,0.8562,0.4747,0.3584,0.0007397,4641,,,
37,0.8281,0.4495,0.4209,0.8572,0.4697,0.3556,0.0007397,4757,,,
38,0.8293,0.3300,0.3866,0.8582,0.4677,0.3526,0.0007397,4872,,,
39,0.8331,0.3668,0.3867,0.8602,0.4651,0.3501,0.0007397,4989,,,
40,0.8333,0.3858,0.4108,0.8622,0.4596,0.3468,0.0007397,5132,0.8611,0.4594,0.3433
41,0.8379,0.6357,0.5387,0.8597,0.4558,0.3453,0.0006690,5246,,,
42,0.8427,0.4789,0.4908,0.8622,0.4564,0.3448,0.0006690,5361,,,
43,0.8359,0.3623,0.3576,0.8612,0.4561,0.3433,0.0006690,5475,,,
44,0.8399,0.3753,0.3408,0.8627,0.4581,0.3421,0.0006690,5590,,,
45,0.8357,0.4738,0.5328,0.8647,0.4585,0.3402,0.0006690,5704,,,
46,0.8394,0.5073,0.4404,0.8672,0.4575,0.3381,0.0006690,5818,,,
47,0.8391,0.3824,0.3847,0.8677,0.4535,0.3347,0.0006690,5932,,,
48,0.8446,0.3230,0.3766,0.8687,0.4485,0.3331,0.0006690,6046,,,
49,0.8450,0.4518,0.4007,0.8697,0.4456,0.3308,0.0006690,6160,,,
50,0.8438,0.4206,0.4618,0.8722,0.4449,0.3287,0.0006690,6301,0.8688,0.4353,0.3243
FINAL TEST,,,,,,,,6328,0.8688,0.4353,0.3243
