epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4518,1.6950,1.3776,0.5451,1.3129,1.1253,0.0010000,159,,,
2,0.5456,1.1656,1.1103,0.5516,1.2807,1.1059,0.0010000,312,,,
3,0.6178,1.1360,1.1140,0.5586,1.2392,1.0808,0.0010000,465,,,
4,0.6561,0.9721,0.8740,0.5777,1.1879,1.0452,0.0010000,620,,,
5,0.6740,0.9731,0.9644,0.5997,1.1320,1.0065,0.0010000,774,,,
6,0.6945,0.9684,0.9609,0.6242,1.0727,0.9587,0.0010000,926,,,
7,0.7121,0.6656,0.6728,0.6418,1.0103,0.9020,0.0010000,1079,,,
8,0.7190,0.7913,0.7536,0.6683,0.9355,0.8341,0.0010000,1230,,,
9,0.7412,0.8609,0.6907,0.6979,0.8613,0.7577,0.0010000,1385,,,
10,0.7497,0.9080,0.7893,0.7315,0.7946,0.6807,0.0010000,1570,0.7382,0.7736,0.6627
11,0.7591,0.7646,0.6114,0.7550,0.7374,0.6090,0.0009044,1722,,,
12,0.7661,0.3302,0.4385,0.7725,0.7056,0.5635,0.0009044,1874,,,
13,0.7676,0.6330,0.6239,0.7856,0.6771,0.5274,0.0009044,2026,,,
14,0.7783,0.5613,0.5685,0.7941,0.6507,0.5016,0.0009044,2178,,,
15,0.7862,0.5671,0.5597,0.8036,0.6341,0.4808,0.0009044,2330,,,
16,0.7873,0.4794,0.4841,0.8156,0.6156,0.4635,0.0009044,2482,,,
17,0.7858,0.7290,0.6871,0.8196,0.5949,0.4459,0.0009044,2634,,,
18,0.7949,0.5116,0.5310,0.8221,0.5829,0.4322,0.0009044,2786,,,
19,0.7988,0.3748,0.4242,0.8277,0.5700,0.4208,0.0009044,2939,,,
20,0.8036,0.4044,0.4236,0.8292,0.5644,0.4126,0.0009044,3123,0.8272,0.5689,0.4163
21,0.8197,0.5994,0.5899,0.8302,0.5610,0.4064,0.0008179,3275,,,
22,0.8148,0.4704,0.5068,0.8302,0.5553,0.3995,0.0008179,3427,,,
23,0.8128,0.5747,0.5137,0.8337,0.5481,0.3936,0.0008179,3578,,,
24,0.8142,0.6468,0.6095,0.8367,0.5368,0.3871,0.0008179,3729,,,
25,0.8210,0.7394,0.6060,0.8357,0.5273,0.3824,0.0008179,3881,,,
26,0.8209,0.4121,0.4620,0.8367,0.5295,0.3795,0.0008179,4031,,,
27,0.8185,0.7535,0.6209,0.8407,0.5217,0.3749,0.0008179,4182,,,
28,0.8250,0.3906,0.3608,0.8392,0.5160,0.3714,0.0008179,4333,,,
29,0.8308,0.4224,0.4667,0.8437,0.5081,0.3685,0.0008179,4483,,,
30,0.8300,0.4266,0.5132,0.8457,0.5003,0.3665,0.0008179,4666,0.8496,0.5047,0.3645
31,0.8282,0.5070,0.4101,0.8462,0.5038,0.3660,0.0007397,4817,,,
32,0.8336,0.4475,0.4530,0.8482,0.4976,0.3616,0.0007397,4967,,,
33,0.8377,0.3252,0.3811,0.8527,0.4946,0.3577,0.0007397,5117,,,
34,0.8383,0.3529,0.3957,0.8497,0.4927,0.3538,0.0007397,5269,,,
35,0.8407,0.3886,0.4083,0.8517,0.4916,0.3508,0.0007397,5418,,,
36,0.8460,0.4378,0.4274,0.8532,0.4836,0.3460,0.0007397,5568,,,
37,0.8404,0.3264,0.3464,0.8542,0.4863,0.3457,0.0007397,5719,,,
38,0.8392,0.5124,0.4316,0.8562,0.4870,0.3448,0.0007397,5870,,,
39,0.8444,0.5307,0.5355,0.8542,0.4873,0.3418,0.0007397,6021,,,
40,0.8458,0.3948,0.4072,0.8587,0.4846,0.3387,0.0007397,6205,0.8557,0.4955,0.3415
41,0.8547,0.5168,0.4429,0.8632,0.4779,0.3344,0.0006690,6357,,,
42,0.8469,0.4359,0.4282,0.8632,0.4772,0.3347,0.0006690,6508,,,
43,0.8542,0.3419,0.3624,0.8607,0.4767,0.3329,0.0006690,6661,,,
44,0.8565,0.4722,0.4026,0.8602,0.4777,0.3311,0.0006690,6813,,,
45,0.8575,0.3200,0.3049,0.8632,0.4768,0.3300,0.0006690,6965,,,
46,0.8542,0.2236,0.2821,0.8622,0.4758,0.3287,0.0006690,7117,,,
47,0.8526,0.3139,0.3309,0.8612,0.4723,0.3263,0.0006690,7270,,,
48,0.8560,0.5113,0.5387,0.8597,0.4742,0.3255,0.0006690,7421,,,
49,0.8586,0.3774,0.3869,0.8622,0.4722,0.3243,0.0006690,7572,,,
50,0.8566,0.2917,0.2907,0.8622,0.4757,0.3245,0.0006690,7755,0.8636,0.4796,0.3281
