epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4682,1.5639,1.3622,0.5145,1.3581,1.2333,0.0010000,175,,,
2,0.5381,1.1648,1.0806,0.5334,1.3082,1.2125,0.0010000,344,,,
3,0.5771,1.0220,1.0773,0.5588,1.2467,1.1884,0.0010000,511,,,
4,0.6178,0.8966,0.8698,0.5832,1.1950,1.1666,0.0010000,677,,,
5,0.6408,0.9745,0.8982,0.6073,1.1383,1.1364,0.0010000,842,,,
6,0.6518,0.7839,0.7084,0.6350,1.0757,1.0999,0.0010000,1007,,,
7,0.6649,0.8700,0.8191,0.6637,1.0123,1.0552,0.0010000,1171,,,
8,0.6848,0.7738,0.8639,0.6876,0.9491,1.0048,0.0010000,1334,,,
9,0.6892,1.1505,1.0285,0.7124,0.8758,0.9335,0.0010000,1498,,,
10,0.6989,0.9567,0.8863,0.7316,0.8035,0.8512,0.0010000,1716,0.7327,0.8082,0.8532
11,0.7055,0.5847,0.6410,0.7492,0.7451,0.7683,0.0009044,1880,,,
12,0.7197,1.0697,0.8155,0.7593,0.7055,0.7102,0.0009044,2045,,,
13,0.7272,0.5027,0.5757,0.7672,0.6810,0.6737,0.0009044,2209,,,
14,0.7241,0.8196,0.7876,0.7758,0.6592,0.6495,0.0009044,2372,,,
15,0.7301,0.8805,0.8138,0.7821,0.6421,0.6290,0.0009044,2534,,,
16,0.7409,0.8166,0.5760,0.7863,0.6261,0.6116,0.0009044,2695,,,
17,0.7380,0.8775,0.7596,0.7914,0.6108,0.5946,0.0009044,2857,,,
18,0.7493,0.6342,0.6426,0.7962,0.5981,0.5784,0.0009044,3018,,,
19,0.7458,0.6265,0.6005,0.8004,0.5874,0.5658,0.0009044,3180,,,
20,0.7449,0.7542,0.6940,0.8045,0.5793,0.5531,0.0009044,3395,0.8034,0.5946,0.5618
21,0.7575,0.6254,0.6366,0.8088,0.5679,0.5411,0.0008179,3557,,,
22,0.7675,0.5814,0.6266,0.8115,0.5561,0.5320,0.0008179,3719,,,
23,0.7697,0.6873,0.6158,0.8170,0.5446,0.5231,0.0008179,3881,,,
24,0.7654,0.6923,0.6746,0.8172,0.5406,0.5140,0.0008179,4042,,,
25,0.7762,0.5431,0.5584,0.8179,0.5338,0.5048,0.0008179,4204,,,
26,0.7698,0.6838,0.6242,0.8232,0.5253,0.4966,0.0008179,4366,,,
27,0.7744,0.6183,0.5717,0.8255,0.5206,0.4916,0.0008179,4522,,,
28,0.7776,0.6578,0.6679,0.8280,0.5164,0.4852,0.0008179,4684,,,
29,0.7753,0.9346,0.7204,0.8282,0.5140,0.4828,0.0008179,4847,,,
30,0.7769,0.6978,0.6547,0.8313,0.5073,0.4785,0.0008179,5062,0.8264,0.5228,0.4901
31,0.7914,0.7173,0.6529,0.8317,0.5043,0.4732,0.0007397,5251,,,
32,0.7923,0.4092,0.4628,0.8318,0.5025,0.4681,0.0007397,5467,,,
33,0.7916,0.6442,0.6326,0.8324,0.4995,0.4645,0.0007397,5629,,,
34,0.7884,0.6263,0.5047,0.8325,0.4982,0.4622,0.0007397,5791,,,
35,0.7938,0.5953,0.5573,0.8364,0.4971,0.4602,0.0007397,5952,,,
36,0.7851,0.5813,0.6051,0.8364,0.4950,0.4574,0.0007397,6113,,,
37,0.7936,0.4395,0.4795,0.8384,0.4958,0.4552,0.0007397,6275,,,
38,0.7970,0.5289,0.5583,0.8394,0.4927,0.4537,0.0007397,6438,,,
39,0.7987,0.4746,0.4915,0.8418,0.4891,0.4501,0.0007397,6599,,,
40,0.8037,0.5472,0.5457,0.8409,0.4863,0.4469,0.0007397,6813,0.8363,0.4943,0.4577
