epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4964,1.2562,1.2122,0.5461,1.2839,1.1348,0.0010000,345,,,
2,0.5697,1.3423,1.2346,0.5656,1.2238,1.1117,0.0010000,666,,,
3,0.6121,0.9741,0.9976,0.5782,1.1661,1.0939,0.0010000,977,,,
4,0.6373,0.9465,0.9060,0.6022,1.1049,1.0672,0.0010000,1281,,,
5,0.6640,1.0604,0.8755,0.6318,1.0464,1.0386,0.0010000,1581,,,
6,0.6700,1.2229,1.0444,0.6503,0.9882,1.0075,0.0010000,1880,,,
7,0.6870,0.9429,0.8897,0.6728,0.9280,0.9638,0.0010000,2183,,,
8,0.7030,0.6148,0.7366,0.6944,0.8644,0.9109,0.0010000,2471,,,
9,0.7016,1.0015,0.9241,0.7209,0.8026,0.8475,0.0010000,2756,,,
10,0.7158,0.7296,0.7537,0.7480,0.7427,0.7775,0.0010000,3145,0.7558,0.7294,0.7690
11,0.7358,0.6349,0.6128,0.7590,0.6949,0.7104,0.0009044,3429,,,
12,0.7338,0.9006,0.8189,0.7650,0.6625,0.6652,0.0009044,3716,,,
13,0.7404,0.6744,0.7028,0.7740,0.6356,0.6338,0.0009044,4001,,,
14,0.7406,0.7007,0.6880,0.7796,0.6167,0.6119,0.0009044,4279,,,
15,0.7411,0.6188,0.6607,0.7861,0.6003,0.5941,0.0009044,4557,,,
16,0.7480,0.5786,0.6284,0.7966,0.5870,0.5765,0.0009044,4832,,,
17,0.7522,0.7720,0.6627,0.8026,0.5740,0.5621,0.0009044,5107,,,
18,0.7496,0.5952,0.6440,0.8091,0.5658,0.5525,0.0009044,5382,,,
19,0.7661,0.5564,0.5751,0.8111,0.5528,0.5405,0.0009044,5654,,,
20,0.7609,0.7101,0.6872,0.8176,0.5420,0.5308,0.0009044,6036,0.8254,0.5342,0.5220
21,0.7729,0.9351,0.8263,0.8226,0.5309,0.5217,0.0008179,6311,,,
22,0.7759,0.7081,0.6385,0.8241,0.5223,0.5143,0.0008179,6588,,,
23,0.7728,0.5796,0.5648,0.8262,0.5159,0.5065,0.0008179,6860,,,
24,0.7792,0.5538,0.6060,0.8267,0.5110,0.4999,0.0008179,7129,,,
25,0.7847,0.5040,0.5260,0.8282,0.5073,0.4932,0.0008179,7398,,,
26,0.7809,0.6541,0.6607,0.8312,0.5035,0.4887,0.0008179,7667,,,
27,0.7816,0.5651,0.5425,0.8277,0.5000,0.4837,0.0008179,7935,,,
28,0.7888,0.5867,0.6062,0.8302,0.4962,0.4793,0.0008179,8203,,,
29,0.7846,0.9288,0.7398,0.8332,0.4942,0.4752,0.0008179,8471,,,
30,0.7826,0.7378,0.6465,0.8362,0.4908,0.4705,0.0008179,8849,0.8404,0.4828,0.4644
31,0.7978,0.5656,0.5478,0.8352,0.4892,0.4665,0.0007397,9121,,,
32,0.7954,0.6523,0.6455,0.8392,0.4872,0.4658,0.0007397,9394,,,
33,0.7978,0.4359,0.4517,0.8407,0.4861,0.4627,0.0007397,9666,,,
34,0.8026,0.5971,0.5713,0.8437,0.4833,0.4608,0.0007397,9936,,,
35,0.7962,0.5078,0.5853,0.8432,0.4815,0.4590,0.0007397,10205,,,
36,0.7971,0.8036,0.7227,0.8432,0.4752,0.4546,0.0007397,10472,,,
37,0.8065,0.4075,0.4982,0.8447,0.4714,0.4512,0.0007397,10735,,,
38,0.8042,0.8310,0.6039,0.8462,0.4668,0.4475,0.0007397,10999,,,
39,0.8066,0.5055,0.5652,0.8472,0.4629,0.4448,0.0007397,11262,,,
40,0.8019,0.4720,0.5137,0.8467,0.4586,0.4402,0.0007397,11629,0.8540,0.4517,0.4331
41,0.8045,0.6125,0.6157,0.8492,0.4573,0.4381,0.0006690,11892,,,
42,0.8065,0.4762,0.5161,0.8477,0.4567,0.4348,0.0006690,12155,,,
43,0.8131,0.5160,0.4941,0.8472,0.4530,0.4329,0.0006690,12418,,,
44,0.8224,0.3700,0.4269,0.8487,0.4514,0.4302,0.0006690,12681,,,
45,0.8086,0.5141,0.5598,0.8482,0.4488,0.4277,0.0006690,12945,,,
46,0.8162,0.5582,0.5644,0.8452,0.4517,0.4281,0.0006690,13209,,,
47,0.8153,0.5985,0.5314,0.8447,0.4496,0.4257,0.0006690,13470,,,
48,0.8195,0.2613,0.2812,0.8457,0.4490,0.4242,0.0006690,13731,,,
49,0.8150,0.5772,0.5026,0.8437,0.4470,0.4225,0.0006690,13991,,,
50,0.8156,0.5515,0.5175,0.8447,0.4451,0.4217,0.0006690,14357,0.8584,0.4371,0.4162
FINAL TEST,,,,,,,,14462,0.8548,0.4505,0.4309
