epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4558,1.4581,1.3541,0.5086,1.3554,1.2253,0.0010000,334,,,
2,0.5312,1.0944,1.0710,0.5291,1.3092,1.2024,0.0010000,670,,,
3,0.5777,1.4390,1.2916,0.5513,1.2594,1.1769,0.0010000,994,,,
4,0.6118,1.3193,1.1751,0.5735,1.2009,1.1421,0.0010000,1315,,,
5,0.6358,0.9251,0.9491,0.6004,1.1383,1.1080,0.0010000,1633,,,
6,0.6583,0.9714,0.9395,0.6281,1.0742,1.0684,0.0010000,1955,,,
7,0.6709,0.9258,0.8604,0.6511,1.0054,1.0180,0.0010000,2272,,,
8,0.6820,0.7676,0.7492,0.6805,0.9340,0.9616,0.0010000,2593,,,
9,0.6909,0.8124,0.7725,0.7064,0.8644,0.8979,0.0010000,2913,,,
10,0.7030,0.7256,0.6967,0.7306,0.7975,0.8314,0.0010000,3324,0.7171,0.8117,0.8375
11,0.7117,0.9245,0.8725,0.7419,0.7449,0.7661,0.0009044,3636,,,
12,0.7216,0.8578,0.7388,0.7548,0.7078,0.7202,0.0009044,3953,,,
13,0.7297,0.7259,0.6450,0.7650,0.6810,0.6863,0.0009044,4273,,,
14,0.7331,0.6738,0.7114,0.7741,0.6567,0.6585,0.0009044,4583,,,
15,0.7408,0.6863,0.7158,0.7807,0.6377,0.6334,0.0009044,4896,,,
16,0.7347,0.6910,0.6937,0.7878,0.6218,0.6146,0.0009044,5213,,,
17,0.7433,0.7390,0.6651,0.7894,0.6118,0.6028,0.0009044,5528,,,
18,0.7536,0.6553,0.6150,0.7930,0.6011,0.5891,0.0009044,5839,,,
19,0.7589,0.6784,0.5728,0.7971,0.5947,0.5782,0.0009044,6157,,,
20,0.7572,0.6467,0.6477,0.8013,0.5857,0.5663,0.0009044,6558,0.7927,0.6144,0.5746
21,0.7610,0.8069,0.6494,0.8040,0.5750,0.5534,0.0008179,6871,,,
22,0.7648,0.7888,0.7497,0.8081,0.5647,0.5429,0.0008179,7182,,,
23,0.7655,0.8953,0.7282,0.8093,0.5580,0.5356,0.0008179,7489,,,
24,0.7696,0.4587,0.5413,0.8137,0.5507,0.5283,0.0008179,7799,,,
25,0.7757,0.5828,0.5002,0.8141,0.5470,0.5234,0.0008179,8106,,,
26,0.7803,0.7183,0.6503,0.8149,0.5405,0.5164,0.0008179,8415,,,
27,0.7830,0.6414,0.6287,0.8180,0.5354,0.5087,0.0008179,8719,,,
28,0.7772,0.9538,0.7722,0.8182,0.5336,0.5049,0.0008179,9027,,,
29,0.7825,0.5709,0.5273,0.8212,0.5267,0.5001,0.0008179,9341,,,
30,0.7844,0.9680,0.6439,0.8210,0.5225,0.4953,0.0008179,9743,0.8209,0.5443,0.4991
31,0.7896,0.5504,0.5682,0.8211,0.5218,0.4935,0.0007397,10053,,,
32,0.7976,0.6024,0.5296,0.8222,0.5208,0.4903,0.0007397,10364,,,
33,0.8000,0.5355,0.5693,0.8258,0.5181,0.4860,0.0007397,10678,,,
34,0.7964,0.5173,0.5184,0.8260,0.5149,0.4820,0.0007397,10991,,,
35,0.7943,0.4481,0.4665,0.8286,0.5100,0.4776,0.0007397,11300,,,
36,0.8033,0.3858,0.3875,0.8284,0.5073,0.4743,0.0007397,11605,,,
37,0.8011,0.5977,0.5277,0.8316,0.5026,0.4719,0.0007397,11909,,,
38,0.7993,0.5187,0.5326,0.8330,0.5005,0.4707,0.0007397,12216,,,
39,0.7971,0.6308,0.5321,0.8319,0.5002,0.4685,0.0007397,12519,,,
40,0.8012,0.5668,0.5226,0.8340,0.4968,0.4661,0.0007397,12927,0.8330,0.5184,0.4719
41,0.8089,0.4480,0.4926,0.8344,0.4941,0.4625,0.0006690,13244,,,
42,0.8115,0.5341,0.4630,0.8351,0.4899,0.4601,0.0006690,13560,,,
43,0.8069,0.7355,0.5758,0.8357,0.4859,0.4580,0.0006690,13874,,,
44,0.8114,0.6956,0.6058,0.8364,0.4835,0.4552,0.0006690,14188,,,
45,0.8118,0.5385,0.5100,0.8371,0.4811,0.4530,0.0006690,14495,,,
46,0.8194,0.4107,0.4435,0.8390,0.4793,0.4514,0.0006690,14811,,,
47,0.8227,0.4579,0.5179,0.8399,0.4797,0.4496,0.0006690,15115,,,
48,0.8162,0.4948,0.5378,0.8420,0.4758,0.4461,0.0006690,15421,,,
49,0.8207,0.3978,0.4069,0.8433,0.4729,0.4429,0.0006690,15731,,,
50,0.8203,0.4215,0.4384,0.8427,0.4723,0.4414,0.0006690,16137,0.8426,0.4935,0.4474
