epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4673,1.5009,1.2779,0.5400,1.3016,1.1357,0.0010000,217,,,
2,0.5516,1.0948,1.0401,0.5571,1.2531,1.1150,0.0010000,426,,,
3,0.6160,1.0812,1.0006,0.5821,1.2033,1.0855,0.0010000,628,,,
4,0.6513,1.1786,1.0562,0.5976,1.1494,1.0538,0.0010000,822,,,
5,0.6755,0.7819,0.8038,0.6176,1.0908,1.0138,0.0010000,1011,,,
6,0.6979,0.9264,0.9808,0.6366,1.0264,0.9650,0.0010000,1196,,,
7,0.7094,0.8220,0.7879,0.6662,0.9563,0.9063,0.0010000,1378,,,
8,0.7192,0.7270,0.7472,0.6947,0.8748,0.8367,0.0010000,1557,,,
9,0.7301,0.9421,0.8848,0.7212,0.7992,0.7657,0.0010000,1735,,,
10,0.7459,0.7035,0.6915,0.7482,0.7310,0.6949,0.0010000,1969,0.7468,0.7385,0.6930
11,0.7472,0.6658,0.7134,0.7643,0.6780,0.6340,0.0009044,2147,,,
12,0.7548,0.6791,0.6697,0.7748,0.6451,0.5949,0.0009044,2323,,,
13,0.7596,0.7140,0.7115,0.7858,0.6148,0.5666,0.0009044,2498,,,
14,0.7655,0.9748,0.7116,0.7958,0.5942,0.5457,0.0009044,2669,,,
15,0.7719,0.4764,0.5398,0.8083,0.5738,0.5275,0.0009044,2843,,,
16,0.7775,0.7420,0.6589,0.8153,0.5568,0.5142,0.0009044,3016,,,
17,0.7767,0.4657,0.4893,0.8158,0.5423,0.5011,0.0009044,3188,,,
18,0.7822,0.8438,0.6875,0.8198,0.5315,0.4909,0.0009044,3359,,,
19,0.7858,0.6480,0.6110,0.8228,0.5224,0.4821,0.0009044,3533,,,
20,0.7883,0.7125,0.6654,0.8273,0.5066,0.4728,0.0009044,3758,0.8278,0.5303,0.4701
21,0.7843,0.8081,0.6662,0.8283,0.5025,0.4679,0.0008179,3928,,,
22,0.7956,0.5351,0.5024,0.8323,0.4960,0.4614,0.0008179,4096,,,
23,0.8001,0.5007,0.5353,0.8323,0.4881,0.4553,0.0008179,4261,,,
24,0.7928,0.3202,0.3836,0.8383,0.4789,0.4481,0.0008179,4427,,,
25,0.8010,0.4760,0.5386,0.8403,0.4732,0.4429,0.0008179,4592,,,
26,0.7979,0.7463,0.6927,0.8408,0.4681,0.4385,0.0008179,4756,,,
27,0.8051,0.5008,0.5656,0.8448,0.4636,0.4347,0.0008179,4921,,,
28,0.8027,0.4782,0.5324,0.8498,0.4617,0.4314,0.0008179,5084,,,
29,0.8069,0.4699,0.4632,0.8468,0.4590,0.4281,0.0008179,5247,,,
30,0.8089,0.4785,0.5052,0.8458,0.4612,0.4265,0.0008179,5464,0.8467,0.4697,0.4207
31,0.8082,0.7082,0.6275,0.8504,0.4542,0.4216,0.0007397,5627,,,
32,0.8060,0.7398,0.6627,0.8534,0.4477,0.4174,0.0007397,5789,,,
33,0.8153,0.6269,0.5695,0.8564,0.4418,0.4132,0.0007397,5951,,,
34,0.8188,0.7544,0.5865,0.8534,0.4396,0.4114,0.0007397,6112,,,
35,0.8203,0.6077,0.5480,0.8529,0.4395,0.4105,0.0007397,6275,,,
36,0.8221,0.4779,0.4773,0.8549,0.4384,0.4077,0.0007397,6435,,,
37,0.8185,0.4484,0.5108,0.8584,0.4342,0.4054,0.0007397,6597,,,
38,0.8224,0.4613,0.4709,0.8604,0.4302,0.4032,0.0007397,6757,,,
39,0.8174,0.5398,0.5330,0.8609,0.4284,0.4012,0.0007397,6918,,,
40,0.8249,0.3958,0.4610,0.8609,0.4232,0.3979,0.0007397,7133,0.8563,0.4471,0.3995
41,0.8221,0.6455,0.5889,0.8604,0.4219,0.3965,0.0006690,7293,,,
42,0.8320,0.7022,0.6202,0.8584,0.4240,0.3952,0.0006690,7451,,,
43,0.8256,0.4905,0.5167,0.8579,0.4253,0.3946,0.0006690,7610,,,
44,0.8326,0.5725,0.4657,0.8609,0.4253,0.3932,0.0006690,7769,,,
45,0.8298,0.5915,0.5744,0.8584,0.4228,0.3918,0.0006690,7928,,,
46,0.8307,0.4840,0.4603,0.8599,0.4200,0.3904,0.0006690,8085,,,
47,0.8276,0.5654,0.5463,0.8594,0.4193,0.3886,0.0006690,8244,,,
48,0.8343,0.7015,0.5664,0.8614,0.4172,0.3872,0.0006690,8402,,,
49,0.8306,0.5178,0.4851,0.8584,0.4157,0.3858,0.0006690,8564,,,
50,0.8338,0.4532,0.4200,0.8594,0.4150,0.3854,0.0006690,8778,0.8655,0.4234,0.3803
FINAL TEST,,,,,,,,8833,0.8651,0.4265,0.3833
