epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4527,1.5506,1.3376,0.5155,1.3680,1.2256,0.0010000,72,,,
2,0.5364,1.4063,1.1990,0.5365,1.3232,1.1983,0.0010000,152,,,
3,0.5795,1.0182,0.9996,0.5566,1.2637,1.1650,0.0010000,228,,,
4,0.6086,0.7899,0.8231,0.5786,1.2016,1.1295,0.0010000,309,,,
5,0.6302,1.0984,0.9533,0.6014,1.1410,1.0920,0.0010000,390,,,
6,0.6515,1.0980,1.0461,0.6253,1.0825,1.0521,0.0010000,460,,,
7,0.6708,0.8080,0.8484,0.6487,1.0200,1.0044,0.0010000,538,,,
8,0.6771,0.6866,0.7047,0.6721,0.9569,0.9505,0.0010000,622,,,
9,0.6827,0.9380,0.9245,0.6935,0.8930,0.8900,0.0010000,699,,,
10,0.6900,0.9782,0.8579,0.7148,0.8305,0.8264,0.0010000,790,0.7169,0.8287,0.8248
11,0.7038,0.7481,0.7644,0.7344,0.7816,0.7668,0.0007374,872,,,
12,0.7075,0.8236,0.8081,0.7463,0.7492,0.7307,0.0007374,952,,,
13,0.7169,0.8255,0.7419,0.7568,0.7247,0.7006,0.0007374,1036,,,
14,0.7280,0.8349,0.7802,0.7628,0.7058,0.6770,0.0007374,1119,,,
15,0.7322,0.7733,0.6916,0.7721,0.6897,0.6564,0.0007374,1201,,,
16,0.7298,0.8748,0.7230,0.7778,0.6734,0.6389,0.0007374,1281,,,
17,0.7399,0.4573,0.5014,0.7818,0.6598,0.6225,0.0007374,1362,,,
18,0.7477,0.7558,0.6679,0.7866,0.6412,0.6062,0.0007374,1440,,,
19,0.7457,0.6592,0.6608,0.7930,0.6283,0.5944,0.0007374,1519,,,
20,0.7497,0.6772,0.6926,0.7948,0.6204,0.5843,0.0007374,1611,0.7918,0.6237,0.5887
21,0.7629,0.6728,0.6426,0.7980,0.6113,0.5742,0.0005438,1688,,,
22,0.7664,0.7798,0.7037,0.8002,0.6037,0.5636,0.0005438,1776,,,
23,0.7624,0.6043,0.6143,0.8034,0.5945,0.5546,0.0005438,1858,,,
24,0.7678,0.7890,0.6630,0.8071,0.5886,0.5496,0.0005438,1937,,,
25,0.7659,0.6473,0.6638,0.8091,0.5811,0.5427,0.0005438,2016,,,
26,0.7711,0.4520,0.5083,0.8131,0.5764,0.5367,0.0005438,2098,,,
27,0.7699,0.7284,0.6739,0.8138,0.5726,0.5326,0.0005438,2181,,,
28,0.7806,0.7454,0.6822,0.8155,0.5673,0.5265,0.0005438,2269,,,
29,0.7800,0.8539,0.6371,0.8161,0.5627,0.5210,0.0005438,2360,,,
30,0.7743,0.7792,0.7072,0.8182,0.5569,0.5138,0.0005438,2458,0.8115,0.5633,0.5241
31,0.7872,0.8213,0.7005,0.8204,0.5540,0.5091,0.0004010,2537,,,
32,0.7859,0.5646,0.6115,0.8206,0.5492,0.5056,0.0004010,2617,,,
33,0.7889,0.3809,0.4453,0.8230,0.5469,0.5031,0.0004010,2700,,,
34,0.7966,0.3601,0.3920,0.8258,0.5388,0.4971,0.0004010,2785,,,
35,0.8000,0.5124,0.5719,0.8270,0.5353,0.4927,0.0004010,2869,,,
36,0.7976,0.7915,0.6823,0.8270,0.5344,0.4908,0.0004010,2954,,,
37,0.7976,0.5368,0.5696,0.8294,0.5293,0.4869,0.0004010,3033,,,
38,0.7989,0.5886,0.6151,0.8320,0.5263,0.4843,0.0004010,3109,,,
39,0.7934,0.6130,0.5660,0.8327,0.5234,0.4837,0.0004010,3191,,,
40,0.8020,0.5721,0.6102,0.8349,0.5189,0.4809,0.0004010,3292,0.8238,0.5323,0.4921
41,0.8072,0.5506,0.4855,0.8358,0.5170,0.4794,0.0002957,3374,,,
42,0.8022,0.5559,0.5346,0.8363,0.5142,0.4766,0.0002957,3458,,,
43,0.8022,0.4212,0.4407,0.8354,0.5141,0.4749,0.0002957,3541,,,
44,0.8021,0.5876,0.6153,0.8358,0.5138,0.4738,0.0002957,3625,,,
45,0.8083,0.5274,0.5077,0.8362,0.5139,0.4724,0.0002957,3706,,,
46,0.8162,0.5552,0.4942,0.8385,0.5082,0.4682,0.0002957,3789,,,
47,0.8091,0.6928,0.6191,0.8398,0.5051,0.4658,0.0002957,3873,,,
48,0.8058,0.5167,0.5446,0.8421,0.5018,0.4634,0.0002957,3958,,,
49,0.8176,0.5239,0.5250,0.8422,0.5000,0.4606,0.0002957,4042,,,
50,0.8183,0.2855,0.3407,0.8412,0.5009,0.4589,0.0002957,4136,0.8320,0.5112,0.4705
51,0.8203,0.4068,0.4301,0.8430,0.4980,0.4564,0.0002181,4212,,,
52,0.8221,0.6380,0.5283,0.8448,0.4959,0.4537,0.0002181,4291,,,
53,0.8213,0.7369,0.6863,0.8452,0.4929,0.4512,0.0002181,4373,,,
54,0.8260,0.4035,0.4340,0.8445,0.4930,0.4495,0.0002181,4452,,,
55,0.8154,0.5968,0.5577,0.8440,0.4910,0.4483,0.0002181,4533,,,
56,0.8137,0.4925,0.4588,0.8441,0.4900,0.4469,0.0002181,4614,,,
57,0.8236,0.5169,0.4880,0.8465,0.4902,0.4458,0.0002181,4693,,,
58,0.8302,0.7642,0.5084,0.8470,0.4924,0.4450,0.0002181,4778,,,
59,0.8211,0.5004,0.4623,0.8472,0.4903,0.4427,0.0002181,4864,,,
60,0.8223,0.5899,0.4888,0.8482,0.4873,0.4413,0.0002181,4962,0.8380,0.5011,0.4540
61,0.8240,0.4384,0.4235,0.8492,0.4853,0.4402,0.0001608,5040,,,
62,0.8354,0.4442,0.4656,0.8501,0.4836,0.4391,0.0001608,5117,,,
63,0.8364,0.3046,0.3698,0.8519,0.4815,0.4376,0.0001608,5194,,,
64,0.8291,0.2670,0.3055,0.8511,0.4799,0.4369,0.0001608,5274,,,
65,0.8339,0.3730,0.4096,0.8506,0.4782,0.4354,0.0001608,5357,,,
66,0.8352,0.4166,0.3849,0.8502,0.4777,0.4346,0.0001608,5435,,,
67,0.8342,0.3714,0.4101,0.8514,0.4764,0.4340,0.0001608,5509,,,
68,0.8309,0.6370,0.6531,0.8506,0.4746,0.4341,0.0001608,5585,,,
69,0.8406,0.3797,0.4717,0.8503,0.4757,0.4332,0.0001608,5664,,,
70,0.8340,0.3840,0.4150,0.8516,0.4746,0.4326,0.0001608,5761,0.8406,0.4912,0.4478
71,0.8402,0.4659,0.4553,0.8514,0.4725,0.4314,0.0001186,5837,,,
72,0.8394,0.4744,0.4789,0.8518,0.4717,0.4306,0.0001186,5915,,,
73,0.8317,0.5681,0.5332,0.8515,0.4699,0.4295,0.0001186,5996,,,
74,0.8407,0.4907,0.5131,0.8517,0.4698,0.4285,0.0001186,6073,,,
75,0.8363,0.4509,0.4432,0.8525,0.4700,0.4277,0.0001186,6152,,,
76,0.8380,0.5569,0.5334,0.8521,0.4697,0.4276,0.0001186,6231,,,
77,0.8330,0.4509,0.4564,0.8508,0.4699,0.4270,0.0001186,6312,,,
78,0.8402,0.7012,0.5920,0.8522,0.4702,0.4260,0.0001186,6392,,,
79,0.8403,0.4956,0.4661,0.8532,0.4682,0.4252,0.0001186,6468,,,
80,0.8369,0.4020,0.3927,0.8534,0.4680,0.4241,0.0001186,6562,0.8445,0.4857,0.4396
81,0.8406,0.6130,0.5704,0.8532,0.4679,0.4236,0.0000874,6643,,,
82,0.8446,0.4120,0.4059,0.8524,0.4678,0.4234,0.0000874,6726,,,
83,0.8460,0.3809,0.3990,0.8523,0.4680,0.4232,0.0000874,6806,,,
84,0.8346,0.4928,0.4826,0.8520,0.4666,0.4229,0.0000874,6886,,,
85,0.8494,0.3391,0.3953,0.8527,0.4669,0.4234,0.0000874,6969,,,
86,0.8443,0.4526,0.4668,0.8522,0.4661,0.4225,0.0000874,7047,,,
87,0.8390,0.3799,0.3642,0.8534,0.4653,0.4222,0.0000874,7127,,,
88,0.8467,0.4564,0.4220,0.8538,0.4643,0.4219,0.0000874,7212,,,
89,0.8446,0.5296,0.4936,0.8527,0.4655,0.4223,0.0000874,7295,,,
90,0.8414,0.3755,0.4176,0.8531,0.4669,0.4234,0.0000874,7386,0.8452,0.4864,0.4395
91,0.8467,0.3105,0.3735,0.8532,0.4662,0.4224,0.0000645,7455,,,
92,0.8447,0.4099,0.4178,0.8535,0.4666,0.4220,0.0000645,7522,,,
93,0.8466,0.4062,0.4772,0.8529,0.4660,0.4215,0.0000645,7599,,,
94,0.8514,0.4310,0.4368,0.8525,0.4664,0.4214,0.0000645,7680,,,
95,0.8496,0.2593,0.2840,0.8525,0.4655,0.4206,0.0000645,7760,,,
96,0.8515,0.4589,0.4641,0.8537,0.4652,0.4201,0.0000645,7841,,,
97,0.8438,0.1885,0.2619,0.8527,0.4656,0.4198,0.0000645,7915,,,
98,0.8495,0.4791,0.5141,0.8520,0.4662,0.4193,0.0000645,7992,,,
99,0.8494,0.4714,0.4933,0.8527,0.4658,0.4185,0.0000645,8067,,,
100,0.8448,0.3650,0.3764,0.8532,0.4647,0.4180,0.0000645,8164,0.8458,0.4863,0.4349
101,0.7740,0.9013,0.7728,0.8509,0.4691,0.4216,0.0010000,8240,,,
102,0.7840,0.5617,0.5602,0.8501,0.4723,0.4271,0.0010000,8326,,,
103,0.7760,0.6102,0.5861,0.8494,0.4725,0.4298,0.0010000,8407,,,
104,0.7741,0.8506,0.6348,0.8484,0.4739,0.4333,0.0010000,8487,,,
105,0.7752,0.6151,0.5285,0.8456,0.4764,0.4367,0.0010000,8572,,,
106,0.7754,0.6803,0.6527,0.8446,0.4764,0.4404,0.0010000,8661,,,
107,0.7896,0.5870,0.5810,0.8448,0.4787,0.4420,0.0010000,8743,,,
108,0.7913,0.7337,0.6143,0.8438,0.4815,0.4451,0.0010000,8825,,,
109,0.7899,0.7038,0.6406,0.8424,0.4809,0.4469,0.0010000,8903,,,
110,0.7912,0.4588,0.4832,0.8412,0.4846,0.4498,0.0010000,9002,0.8340,0.5063,0.4646
111,0.8037,0.5428,0.5080,0.8421,0.4833,0.4477,0.0007374,9084,,,
112,0.8103,0.4532,0.4929,0.8440,0.4804,0.4422,0.0007374,9160,,,
113,0.8120,0.5823,0.5310,0.8455,0.4764,0.4386,0.0007374,9235,,,
114,0.8072,0.4107,0.4645,0.8468,0.4765,0.4344,0.0007374,9320,,,
115,0.8100,0.4658,0.4080,0.8489,0.4746,0.4307,0.0007374,9408,,,
116,0.8078,0.3163,0.4007,0.8487,0.4736,0.4285,0.0007374,9496,,,
117,0.8127,0.4487,0.4696,0.8484,0.4735,0.4284,0.0007374,9576,,,
118,0.8021,0.4682,0.5095,0.8469,0.4769,0.4275,0.0007374,9657,,,
119,0.8136,0.4817,0.4930,0.8466,0.4785,0.4274,0.0007374,9737,,,
120,0.8110,0.3057,0.3414,0.8489,0.4740,0.4242,0.0007374,9833,0.8411,0.4938,0.4381
121,0.8259,0.5429,0.4191,0.8488,0.4710,0.4212,0.0005438,9917,,,
122,0.8201,0.7376,0.5565,0.8495,0.4692,0.4199,0.0005438,9995,,,
123,0.8255,0.5239,0.4300,0.8501,0.4689,0.4178,0.0005438,10073,,,
124,0.8258,0.4884,0.4640,0.8501,0.4691,0.4181,0.0005438,10157,,,
125,0.8295,0.4091,0.3721,0.8503,0.4718,0.4175,0.0005438,10237,,,
126,0.8305,0.4029,0.4849,0.8510,0.4695,0.4153,0.0005438,10311,,,
127,0.8344,0.4816,0.4608,0.8506,0.4687,0.4141,0.0005438,10389,,,
128,0.8298,0.8196,0.6574,0.8515,0.4653,0.4127,0.0005438,10471,,,
129,0.8318,0.3156,0.3493,0.8530,0.4634,0.4101,0.0005438,10552,,,
130,0.8347,0.3622,0.3925,0.8534,0.4617,0.4082,0.0005438,10653,0.8469,0.4812,0.4223
131,0.8410,0.2515,0.3027,0.8540,0.4606,0.4066,0.0004010,10729,,,
132,0.8491,0.3724,0.4048,0.8536,0.4601,0.4050,0.0004010,10808,,,
133,0.8432,0.4020,0.4148,0.8542,0.4579,0.4034,0.0004010,10887,,,
134,0.8418,0.3757,0.3862,0.8553,0.4548,0.4018,0.0004010,10965,,,
135,0.8459,0.4302,0.4230,0.8573,0.4504,0.3992,0.0004010,11047,,,
136,0.8449,0.4534,0.4245,0.8575,0.4498,0.3973,0.0004010,11131,,,
137,0.8494,0.6554,0.5742,0.8615,0.4461,0.3938,0.0004010,11210,,,
138,0.8424,0.4820,0.3881,0.8600,0.4474,0.3937,0.0004010,11290,,,
139,0.8463,0.6745,0.5513,0.8598,0.4478,0.3927,0.0004010,11369,,,
140,0.8494,0.3732,0.3626,0.8614,0.4454,0.3915,0.0004010,11467,0.8542,0.4639,0.4040
141,0.8542,0.4256,0.3597,0.8623,0.4455,0.3919,0.0002957,11543,,,
