epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.6396,1.0316,0.8643,0.8008,0.6811,0.5773,0.0010000,1078,,,
2,0.7420,0.7752,0.7004,0.8178,0.6331,0.5489,0.0010000,2041,,,
3,0.7861,0.4892,0.5039,0.8362,0.5785,0.5151,0.0010000,2968,,,
4,0.8082,0.7333,0.6266,0.8488,0.5306,0.4844,0.0010000,3865,,,
5,0.8293,0.4853,0.4178,0.8632,0.4800,0.4560,0.0010000,4731,,,
6,0.8470,0.3930,0.4182,0.8751,0.4317,0.4239,0.0010000,5587,,,
7,0.8614,0.3803,0.3712,0.8946,0.3709,0.3802,0.0010000,6437,,,
8,0.8684,0.2227,0.2665,0.9076,0.3142,0.3306,0.0010000,7279,,,
9,0.8833,0.4657,0.3560,0.9289,0.2550,0.2737,0.0010000,8098,,,
10,0.8856,0.1699,0.2320,0.9441,0.2023,0.2183,0.0010000,9001,0.9390,0.1989,0.2238
11,0.8954,0.3750,0.3651,0.9545,0.1633,0.1727,0.0009044,9800,,,
12,0.9016,0.2962,0.3058,0.9589,0.1402,0.1464,0.0009044,10598,,,
13,0.9022,0.2868,0.2830,0.9621,0.1244,0.1294,0.0009044,11394,,,
14,0.9111,0.1764,0.1751,0.9657,0.1111,0.1161,0.0009044,12184,,,
15,0.9049,0.2982,0.2986,0.9675,0.1025,0.1057,0.0009044,12970,,,
16,0.9116,0.2830,0.2594,0.9711,0.0961,0.0989,0.0009044,13750,,,
17,0.9153,0.1710,0.1990,0.9722,0.0927,0.0938,0.0009044,14529,,,
18,0.9182,0.3057,0.2913,0.9740,0.0863,0.0886,0.0009044,15308,,,
19,0.9195,0.1905,0.2162,0.9747,0.0818,0.0845,0.0009044,16094,,,
20,0.9209,0.2180,0.2155,0.9733,0.0783,0.0815,0.0009044,16955,0.9773,0.0706,0.0785
21,0.9277,0.2689,0.2510,0.9758,0.0741,0.0778,0.0008179,17719,,,
22,0.9267,0.2121,0.2187,0.9758,0.0725,0.0759,0.0008179,18483,,,
23,0.9288,0.3389,0.2620,0.9751,0.0695,0.0738,0.0008179,19246,,,
24,0.9300,0.3139,0.2726,0.9765,0.0683,0.0727,0.0008179,20006,,,
25,0.9258,0.2511,0.1931,0.9769,0.0656,0.0704,0.0008179,20767,,,
26,0.9345,0.2645,0.2069,0.9765,0.0638,0.0684,0.0008179,21535,,,
27,0.9302,0.0539,0.0809,0.9783,0.0613,0.0665,0.0008179,22301,,,
28,0.9368,0.1754,0.1963,0.9791,0.0603,0.0655,0.0008179,23063,,,
29,0.9354,0.3206,0.2684,0.9787,0.0595,0.0646,0.0008179,23827,,,
30,0.9354,0.1676,0.2057,0.9798,0.0589,0.0629,0.0008179,24679,0.9859,0.0473,0.0550
31,0.9423,0.3263,0.2527,0.9791,0.0570,0.0613,0.0007397,25446,,,
32,0.9416,0.2467,0.2284,0.9802,0.0537,0.0586,0.0007397,26203,,,
33,0.9406,0.0701,0.1021,0.9812,0.0520,0.0566,0.0007397,26958,,,
34,0.9437,0.1958,0.1848,0.9820,0.0486,0.0543,0.0007397,27712,,,
35,0.9371,0.2425,0.2372,0.9820,0.0475,0.0531,0.0007397,28461,,,
36,0.9450,0.0764,0.0615,0.9820,0.0465,0.0523,0.0007397,29211,,,
37,0.9442,0.1012,0.1288,0.9830,0.0451,0.0509,0.0007397,29959,,,
38,0.9426,0.1122,0.1046,0.9830,0.0453,0.0504,0.0007397,30703,,,
39,0.9441,0.1128,0.1113,0.9827,0.0427,0.0486,0.0007397,31452,,,
40,0.9458,0.2164,0.2088,0.9841,0.0411,0.0472,0.0007397,32292,0.9881,0.0373,0.0433
41,0.9500,0.0500,0.0748,0.9852,0.0409,0.0464,0.0006690,33040,,,
42,0.9466,0.1503,0.1398,0.9852,0.0400,0.0456,0.0006690,33814,,,
43,0.9503,0.1071,0.1568,0.9848,0.0402,0.0453,0.0006690,34580,,,
44,0.9485,0.1791,0.1916,0.9856,0.0406,0.0452,0.0006690,35333,,,
45,0.9492,0.0094,0.0175,0.9845,0.0405,0.0452,0.0006690,36070,,,
46,0.9538,0.1076,0.1131,0.9856,0.0398,0.0441,0.0006690,36811,,,
47,0.9486,0.1341,0.1131,0.9863,0.0400,0.0436,0.0006690,37551,,,
48,0.9491,0.0679,0.0991,0.9870,0.0386,0.0422,0.0006690,38277,,,
49,0.9499,0.1059,0.1281,0.9859,0.0390,0.0425,0.0006690,38993,,,
50,0.9509,0.0899,0.1207,0.9866,0.0374,0.0415,0.0006690,39791,0.9899,0.0297,0.0350
FINAL TEST,,,,,,,,39879,0.9903,0.0314,0.0368
