epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.7895,0.7069,0.5520,0.8687,0.4393,0.3635,0.0010000,401,,,
2,0.8601,0.5981,0.5374,0.8868,0.3813,0.3252,0.0010000,805,,,
3,0.8890,0.4104,0.3716,0.8996,0.3280,0.2881,0.0010000,1206,,,
4,0.9016,0.2536,0.2790,0.9151,0.2760,0.2489,0.0010000,1610,,,
5,0.9133,0.1671,0.1775,0.9290,0.2372,0.2174,0.0010000,2092,,,
6,0.9206,0.1599,0.2077,0.9393,0.2022,0.1874,0.0010000,2577,,,
7,0.9283,0.2455,0.2088,0.9485,0.1733,0.1598,0.0010000,3063,,,
8,0.9321,0.1513,0.1296,0.9555,0.1444,0.1325,0.0010000,3548,,,
9,0.9420,0.1321,0.1123,0.9647,0.1203,0.1103,0.0010000,4035,,,
10,0.9389,0.0930,0.1274,0.9713,0.1014,0.0921,0.0010000,4555,0.9614,0.1013,0.1048
11,0.9544,0.1372,0.1305,0.9739,0.0867,0.0779,0.0008171,5041,,,
12,0.9530,0.2032,0.1372,0.9761,0.0789,0.0712,0.0008171,5527,,,
13,0.9546,0.1315,0.1456,0.9768,0.0749,0.0666,0.0008171,6013,,,
14,0.9567,0.1290,0.1091,0.9790,0.0709,0.0629,0.0008171,6501,,,
15,0.9582,0.1128,0.1180,0.9779,0.0695,0.0603,0.0008171,6985,,,
16,0.9560,0.1360,0.1406,0.9768,0.0669,0.0593,0.0008171,7470,,,
17,0.9577,0.1423,0.1092,0.9761,0.0668,0.0587,0.0008171,7954,,,
18,0.9634,0.0791,0.0806,0.9787,0.0629,0.0550,0.0008171,8437,,,
19,0.9603,0.1739,0.1356,0.9787,0.0625,0.0537,0.0008171,8921,,,
20,0.9639,0.0295,0.0492,0.9805,0.0596,0.0518,0.0008171,9441,0.9838,0.0521,0.0495
21,0.9707,0.1198,0.1262,0.9801,0.0604,0.0516,0.0006676,9926,,,
22,0.9696,0.0529,0.0599,0.9812,0.0592,0.0499,0.0006676,10411,,,
23,0.9733,0.1100,0.0639,0.9820,0.0569,0.0484,0.0006676,10895,,,
24,0.9747,0.0236,0.0308,0.9812,0.0554,0.0473,0.0006676,11379,,,
25,0.9733,0.0351,0.0520,0.9824,0.0528,0.0461,0.0006676,11865,,,
26,0.9745,0.0530,0.0678,0.9831,0.0523,0.0449,0.0006676,12351,,,
27,0.9748,0.0672,0.0831,0.9835,0.0522,0.0438,0.0006676,12836,,,
28,0.9748,0.0824,0.0945,0.9838,0.0531,0.0435,0.0006676,13322,,,
29,0.9735,0.0789,0.0987,0.9835,0.0546,0.0437,0.0006676,13808,,,
30,0.9758,0.0172,0.0292,0.9838,0.0549,0.0435,0.0006676,14326,0.9857,0.0395,0.0379
31,0.9768,0.0186,0.0257,0.9846,0.0540,0.0422,0.0005455,14814,,,
32,0.9766,0.0928,0.1188,0.9846,0.0532,0.0415,0.0005455,15303,,,
33,0.9809,0.0763,0.0666,0.9853,0.0526,0.0408,0.0005455,15791,,,
34,0.9791,0.0413,0.0539,0.9846,0.0544,0.0414,0.0005455,16278,,,
35,0.9794,0.0348,0.0511,0.9853,0.0547,0.0405,0.0005455,16765,,,
36,0.9789,0.1066,0.0907,0.9857,0.0546,0.0397,0.0005455,17254,,,
37,0.9820,0.0209,0.0333,0.9853,0.0537,0.0393,0.0005455,17740,,,
38,0.9824,0.0556,0.0627,0.9849,0.0527,0.0387,0.0005455,18227,,,
39,0.9809,0.0052,0.0101,0.9857,0.0530,0.0377,0.0005455,18715,,,
40,0.9789,0.0096,0.0162,0.9842,0.0531,0.0375,0.0005455,19235,0.9879,0.0369,0.0342
41,0.9849,0.0090,0.0170,0.9860,0.0522,0.0375,0.0004457,19724,,,
42,0.9856,0.0108,0.0171,0.9860,0.0520,0.0378,0.0004457,20173,,,
43,0.9844,0.0764,0.0656,0.9857,0.0521,0.0376,0.0004457,20584,,,
44,0.9823,0.0426,0.0465,0.9868,0.0511,0.0364,0.0004457,20993,,,
45,0.9871,0.0011,0.0021,0.9857,0.0498,0.0360,0.0004457,21395,,,
46,0.9852,0.0427,0.0605,0.9857,0.0496,0.0357,0.0004457,21790,,,
