epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.0466,4.8263,1.9759,0.0663,4.6265,1.9528,0.0010000,374,,,
2,0.1002,4.2960,1.9396,0.0755,4.5464,1.9491,0.0010000,720,,,
3,0.1447,3.5704,1.8027,0.0841,4.4582,1.9460,0.0010000,1056,,,
4,0.1709,4.0247,1.8631,0.0962,4.3679,1.9438,0.0010000,1385,,,
5,0.1908,3.4639,1.7656,0.1108,4.2699,1.9399,0.0010000,1708,,,
6,0.2125,3.3798,1.7508,0.1330,4.1546,1.9333,0.0010000,2028,,,
7,0.2182,3.2775,1.7889,0.1583,4.0069,1.9215,0.0010000,2345,,,
8,0.2455,3.1446,1.7170,0.1907,3.8158,1.8992,0.0010000,2662,,,
9,0.2560,3.3022,1.7418,0.2280,3.5915,1.8604,0.0010000,2975,,,
10,0.2693,3.6811,1.8074,0.2594,3.3531,1.7972,0.0010000,3310,0.2676,3.3720,1.7955
11,0.2839,2.8639,1.6661,0.2839,3.1665,1.7160,0.0009044,3622,,,
12,0.2925,2.9517,1.6535,0.3027,3.0581,1.6585,0.0009044,3931,,,
13,0.2983,3.3103,1.7050,0.3195,2.9835,1.6155,0.0009044,4241,,,
14,0.3100,2.8724,1.5782,0.3323,2.9344,1.5794,0.0009044,4548,,,
15,0.3157,3.1924,1.7031,0.3415,2.8851,1.5517,0.0009044,4830,,,
16,0.3163,2.5697,1.5479,0.3530,2.8471,1.5269,0.0009044,5110,,,
17,0.3168,2.4141,1.4709,0.3628,2.8228,1.5046,0.0009044,5387,,,
18,0.3184,2.7679,1.6335,0.3666,2.7968,1.4880,0.0009044,5667,,,
19,0.3442,2.9218,1.6434,0.3744,2.7758,1.4711,0.0009044,5946,,,
20,0.3364,2.9309,1.6185,0.3824,2.7545,1.4565,0.0009044,6245,0.3902,2.7692,1.4433
21,0.3415,3.2513,1.7368,0.3848,2.7342,1.4441,0.0008179,6525,,,
22,0.3467,2.8196,1.6011,0.3908,2.7284,1.4305,0.0008179,6801,,,
23,0.3561,2.6325,1.4749,0.3932,2.7183,1.4199,0.0008179,7077,,,
24,0.3618,2.4403,1.4079,0.3952,2.7109,1.4116,0.0008179,7351,,,
25,0.3571,2.7744,1.5950,0.3998,2.6981,1.4025,0.0008179,7629,,,
26,0.3579,2.6957,1.5334,0.4008,2.6883,1.3951,0.0008179,7906,,,
27,0.3667,2.4001,1.4434,0.4046,2.6823,1.3887,0.0008179,8179,,,
28,0.3760,2.6608,1.5271,0.4075,2.6710,1.3834,0.0008179,8454,,,
29,0.3621,2.8402,1.5185,0.4054,2.6608,1.3793,0.0008179,8730,,,
30,0.3799,2.6866,1.4779,0.4069,2.6521,1.3729,0.0008179,9026,0.4095,2.6918,1.3654
31,0.3881,2.3693,1.4640,0.4075,2.6467,1.3687,0.0007397,9297,,,
32,0.3832,2.5606,1.5371,0.4119,2.6410,1.3658,0.0007397,9570,,,
33,0.3757,2.5710,1.5063,0.4149,2.6389,1.3635,0.0007397,9844,,,
34,0.3787,2.8262,1.6007,0.4159,2.6366,1.3599,0.0007397,10119,,,
35,0.3919,2.0443,1.2312,0.4155,2.6294,1.3571,0.0007397,10393,,,
36,0.3963,2.8844,1.5465,0.4165,2.6229,1.3526,0.0007397,10669,,,
37,0.3935,2.6510,1.5747,0.4191,2.6239,1.3491,0.0007397,10944,,,
38,0.3882,2.1823,1.3707,0.4217,2.6246,1.3469,0.0007397,11218,,,
39,0.3858,2.4502,1.4625,0.4205,2.6252,1.3457,0.0007397,11486,,,
40,0.3926,2.5654,1.4590,0.4201,2.6237,1.3451,0.0007397,11768,0.4269,2.6458,1.3347
41,0.4002,1.8747,1.2569,0.4237,2.6251,1.3429,0.0006690,12030,,,
42,0.4096,2.6545,1.4611,0.4231,2.6227,1.3402,0.0006690,12235,,,
43,0.4030,2.2188,1.3312,0.4243,2.6194,1.3376,0.0006690,12434,,,
44,0.4126,2.5560,1.5147,0.4241,2.6196,1.3361,0.0006690,12633,,,
45,0.4110,2.5237,1.4277,0.4253,2.6239,1.3341,0.0006690,12831,,,
46,0.4028,2.2562,1.4241,0.4275,2.6253,1.3322,0.0006690,13030,,,
47,0.4076,2.8192,1.4616,0.4285,2.6260,1.3313,0.0006690,13227,,,
48,0.4115,2.4184,1.4954,0.4243,2.6352,1.3299,0.0006690,13425,,,
49,0.4083,2.7713,1.5524,0.4273,2.6351,1.3273,0.0006690,13621,,,
50,0.4155,2.2019,1.2796,0.4291,2.6403,1.3252,0.0006690,13833,0.4343,2.6847,1.3147
51,0.4155,2.3360,1.2978,0.4293,2.6397,1.3248,0.0006050,14031,,,
52,0.4210,2.2649,1.4224,0.4305,2.6435,1.3216,0.0006050,14229,,,
53,0.4302,2.0422,1.3417,0.4295,2.6485,1.3206,0.0006050,14425,,,
54,0.4231,2.0876,1.2603,0.4295,2.6582,1.3197,0.0006050,14620,,,
55,0.4281,2.0490,1.2995,0.4269,2.6594,1.3185,0.0006050,14815,,,
56,0.4213,2.4307,1.4734,0.4263,2.6638,1.3176,0.0006050,15011,,,
57,0.4314,2.2017,1.4017,0.4315,2.6659,1.3152,0.0006050,15209,,,
58,0.4250,2.2455,1.4356,0.4307,2.6654,1.3137,0.0006050,15404,,,
59,0.4275,2.7340,1.4399,0.4309,2.6677,1.3113,0.0006050,15602,,,
60,0.4344,2.1692,1.3448,0.4359,2.6634,1.3093,0.0006050,15814,0.4293,2.6996,1.2992
61,0.4382,2.0848,1.2582,0.4353,2.6690,1.3070,0.0005472,16009,,,
62,0.4321,2.2820,1.3929,0.4347,2.6750,1.3060,0.0005472,16205,,,
63,0.4356,2.2743,1.3115,0.4373,2.6760,1.3048,0.0005472,16403,,,
64,0.4354,2.7445,1.4949,0.4379,2.6795,1.3035,0.0005472,16600,,,
65,0.4413,2.0671,1.2557,0.4339,2.6758,1.3032,0.0005472,16796,,,
66,0.4323,2.2179,1.3945,0.4365,2.6774,1.3031,0.0005472,16991,,,
67,0.4420,2.2870,1.4230,0.4363,2.6721,1.3018,0.0005472,17187,,,
68,0.4462,1.8614,1.2886,0.4347,2.6714,1.3021,0.0005472,17383,,,
69,0.4467,2.9449,1.5390,0.4309,2.6702,1.3014,0.0005472,17580,,,
70,0.4457,2.2060,1.3246,0.4309,2.6667,1.3010,0.0005472,17789,0.4437,2.6933,1.2876
71,0.4562,1.9281,1.2915,0.4317,2.6677,1.3005,0.0004948,17985,,,
72,0.4511,2.2288,1.3675,0.4305,2.6666,1.2997,0.0004948,18181,,,
73,0.4537,2.4913,1.3056,0.4317,2.6706,1.2980,0.0004948,18377,,,
74,0.4601,2.1892,1.3516,0.4349,2.6661,1.2973,0.0004948,18571,,,
75,0.4538,1.8143,1.2512,0.4351,2.6685,1.2958,0.0004948,18766,,,
76,0.4529,2.6069,1.4032,0.4333,2.6726,1.2942,0.0004948,18961,,,
77,0.4578,2.0575,1.2474,0.4349,2.6744,1.2938,0.0004948,19155,,,
78,0.4590,1.8232,1.2172,0.4357,2.6784,1.2928,0.0004948,19350,,,
79,0.4644,1.6843,1.1118,0.4361,2.6866,1.2907,0.0004948,19545,,,
80,0.4463,2.0991,1.2945,0.4367,2.6922,1.2897,0.0004948,19755,0.4397,2.7239,1.2821
81,0.4671,2.0643,1.3407,0.4363,2.6942,1.2879,0.0004475,19950,,,
82,0.4752,2.0113,1.1603,0.4373,2.6993,1.2883,0.0004475,20145,,,
83,0.4559,2.2782,1.4095,0.4413,2.7007,1.2881,0.0004475,20340,,,
84,0.4665,1.8969,1.2136,0.4417,2.7003,1.2873,0.0004475,20536,,,
85,0.4708,2.0411,1.3181,0.4409,2.7142,1.2876,0.0004475,20731,,,
86,0.4643,2.3875,1.3015,0.4335,2.7217,1.2882,0.0004475,20926,,,
87,0.4720,2.4483,1.3845,0.4377,2.7271,1.2873,0.0004475,21120,,,
88,0.4629,2.0445,1.3355,0.4363,2.7408,1.2878,0.0004475,21314,,,
89,0.4639,2.3582,1.3439,0.4363,2.7371,1.2877,0.0004475,21509,,,
90,0.4663,2.0864,1.3983,0.4375,2.7375,1.2871,0.0004475,21718,0.4457,2.7395,1.2746
91,0.4758,2.1341,1.2364,0.4383,2.7368,1.2870,0.0004047,21913,,,
92,0.4731,1.5860,1.1155,0.4393,2.7331,1.2861,0.0004047,22108,,,
93,0.4785,2.0089,1.2254,0.4345,2.7300,1.2855,0.0004047,22303,,,
94,0.4786,1.4863,1.0339,0.4367,2.7355,1.2855,0.0004047,22499,,,
