epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4942,1.3627,1.2922,0.5499,1.2875,1.1200,0.0010000,162,,,
2,0.5842,1.0415,1.0250,0.5653,1.2398,1.0954,0.0010000,312,,,
3,0.6364,0.8654,0.9020,0.5861,1.1760,1.0681,0.0010000,473,,,
4,0.6638,0.8106,0.8384,0.6072,1.1138,1.0397,0.0010000,621,,,
5,0.6840,0.5951,0.6297,0.6312,1.0503,1.0089,0.0010000,795,,,
6,0.7031,0.9836,0.8367,0.6558,0.9852,0.9708,0.0010000,971,,,
7,0.7125,0.7553,0.7568,0.6828,0.9155,0.9244,0.0010000,1137,,,
8,0.7317,0.7012,0.6584,0.7080,0.8436,0.8647,0.0010000,1313,,,
9,0.7326,0.8842,0.8125,0.7368,0.7753,0.7971,0.0010000,1484,,,
10,0.7429,0.7841,0.7240,0.7544,0.7111,0.7208,0.0010000,1698,0.7519,0.7234,0.7270
11,0.7597,0.6349,0.5994,0.7713,0.6638,0.6501,0.0009044,1880,,,
12,0.7700,0.9189,0.7355,0.7795,0.6351,0.6065,0.0009044,2019,,,
13,0.7776,0.6691,0.5567,0.7888,0.6121,0.5726,0.0009044,2159,,,
14,0.7809,0.6385,0.6509,0.7961,0.5940,0.5490,0.0009044,2297,,,
15,0.7732,0.8494,0.7038,0.8011,0.5787,0.5318,0.0009044,2432,,,
16,0.7868,0.6909,0.6468,0.8064,0.5691,0.5191,0.0009044,2567,,,
17,0.7831,0.6723,0.5850,0.8120,0.5576,0.5029,0.0009044,2704,,,
18,0.7965,0.5355,0.4953,0.8167,0.5467,0.4886,0.0009044,2840,,,
19,0.7988,0.7603,0.6269,0.8198,0.5368,0.4795,0.0009044,2978,,,
20,0.7962,0.7605,0.6844,0.8219,0.5283,0.4687,0.0009044,3153,0.8206,0.5469,0.4754
21,0.8105,0.5568,0.5072,0.8270,0.5185,0.4595,0.0008179,3288,,,
22,0.8137,0.5657,0.5217,0.8292,0.5103,0.4493,0.0008179,3423,,,
23,0.8151,0.5103,0.4846,0.8331,0.5039,0.4418,0.0008179,3559,,,
24,0.8133,0.6597,0.5297,0.8342,0.4986,0.4354,0.0008179,3693,,,
25,0.8158,0.4579,0.4247,0.8383,0.4913,0.4263,0.0008179,3829,,,
26,0.8209,0.5915,0.5132,0.8387,0.4880,0.4193,0.0008179,3966,,,
27,0.8171,0.5110,0.4618,0.8413,0.4811,0.4146,0.0008179,4104,,,
28,0.8216,0.4222,0.4807,0.8457,0.4772,0.4100,0.0008179,4239,,,
29,0.8250,0.3283,0.4056,0.8462,0.4751,0.4057,0.0008179,4373,,,
30,0.8274,0.4514,0.4384,0.8468,0.4697,0.4023,0.0008179,4551,0.8426,0.4977,0.4132
31,0.8232,0.3159,0.3455,0.8490,0.4673,0.4000,0.0007397,4685,,,
32,0.8275,0.7030,0.5626,0.8492,0.4658,0.3987,0.0007397,4822,,,
33,0.8339,0.3321,0.3727,0.8493,0.4630,0.3955,0.0007397,4958,,,
34,0.8385,0.4294,0.4019,0.8504,0.4629,0.3940,0.0007397,5094,,,
35,0.8336,0.6980,0.5670,0.8514,0.4621,0.3910,0.0007397,5229,,,
36,0.8357,0.4559,0.4507,0.8532,0.4604,0.3882,0.0007397,5367,,,
37,0.8353,0.3697,0.3483,0.8526,0.4612,0.3864,0.0007397,5501,,,
38,0.8418,0.4810,0.4888,0.8533,0.4614,0.3854,0.0007397,5636,,,
39,0.8403,0.2733,0.3308,0.8532,0.4602,0.3833,0.0007397,5770,,,
40,0.8493,0.5461,0.5032,0.8547,0.4571,0.3814,0.0007397,5945,0.8469,0.4833,0.3933
41,0.8520,0.2706,0.3232,0.8554,0.4516,0.3753,0.0006690,6080,,,
42,0.8525,0.4204,0.4054,0.8565,0.4495,0.3725,0.0006690,6215,,,
43,0.8516,0.4875,0.4651,0.8567,0.4498,0.3716,0.0006690,6350,,,
44,0.8560,0.2063,0.2534,0.8556,0.4490,0.3701,0.0006690,6485,,,
45,0.8558,0.3539,0.3926,0.8563,0.4525,0.3691,0.0006690,6621,,,
46,0.8551,0.3702,0.3615,0.8565,0.4499,0.3684,0.0006690,6755,,,
47,0.8527,0.4910,0.4116,0.8565,0.4478,0.3662,0.0006690,6889,,,
48,0.8556,0.4197,0.4025,0.8579,0.4443,0.3643,0.0006690,7025,,,
49,0.8556,0.2488,0.2765,0.8588,0.4419,0.3622,0.0006690,7160,,,
50,0.8551,0.3624,0.3760,0.8587,0.4435,0.3610,0.0006690,7336,0.8568,0.4691,0.3704
