epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4938,1.4237,1.2709,0.5574,1.2822,1.1036,0.0010000,76,,,
2,0.5891,1.3219,1.1147,0.5722,1.2295,1.0846,0.0010000,150,,,
3,0.6289,1.1273,0.9623,0.5880,1.1720,1.0655,0.0010000,230,,,
4,0.6603,0.7264,0.7347,0.6086,1.1091,1.0418,0.0010000,309,,,
5,0.6823,0.7081,0.7515,0.6322,1.0471,1.0160,0.0010000,381,,,
6,0.7092,0.8648,0.7602,0.6582,0.9878,0.9829,0.0010000,450,,,
7,0.7288,0.6949,0.7281,0.6854,0.9189,0.9372,0.0010000,517,,,
8,0.7341,0.7705,0.7147,0.7123,0.8446,0.8783,0.0010000,586,,,
9,0.7452,0.8503,0.7168,0.7381,0.7708,0.8043,0.0010000,648,,,
10,0.7439,0.6809,0.6513,0.7555,0.7084,0.7285,0.0010000,729,0.7493,0.7266,0.7404
11,0.7646,0.9691,0.7116,0.7709,0.6593,0.6522,0.0009044,796,,,
12,0.7710,0.6277,0.7119,0.7811,0.6271,0.6057,0.0009044,862,,,
13,0.7807,0.7033,0.6803,0.7916,0.6070,0.5719,0.0009044,927,,,
14,0.7789,0.6278,0.5905,0.8005,0.5873,0.5462,0.0009044,993,,,
15,0.7866,0.5675,0.6016,0.8073,0.5742,0.5275,0.0009044,1057,,,
16,0.7871,0.6515,0.5787,0.8111,0.5630,0.5098,0.0009044,1122,,,
17,0.7904,0.4834,0.4826,0.8149,0.5534,0.4957,0.0009044,1187,,,
18,0.7962,0.6570,0.5355,0.8187,0.5458,0.4838,0.0009044,1253,,,
19,0.7983,1.1772,0.8002,0.8229,0.5389,0.4719,0.0009044,1319,,,
20,0.8055,0.4400,0.4435,0.8263,0.5267,0.4617,0.0009044,1399,0.8223,0.5441,0.4686
21,0.8124,0.3669,0.4152,0.8290,0.5197,0.4545,0.0008179,1464,,,
22,0.8085,0.3506,0.4153,0.8324,0.5115,0.4450,0.0008179,1529,,,
23,0.8156,0.6878,0.5565,0.8324,0.5040,0.4372,0.0008179,1595,,,
24,0.8156,0.4492,0.4528,0.8336,0.5011,0.4303,0.0008179,1661,,,
25,0.8201,0.5847,0.5055,0.8361,0.4984,0.4249,0.0008179,1725,,,
26,0.8173,0.4136,0.4427,0.8403,0.4945,0.4203,0.0008179,1789,,,
27,0.8296,0.6589,0.5476,0.8401,0.4898,0.4156,0.0008179,1853,,,
28,0.8269,0.3399,0.3577,0.8404,0.4869,0.4112,0.0008179,1917,,,
29,0.8286,0.3432,0.3948,0.8410,0.4823,0.4083,0.0008179,1982,,,
30,0.8211,0.5684,0.5538,0.8420,0.4824,0.4056,0.0008179,2063,0.8458,0.4943,0.4067
31,0.8395,0.3870,0.4021,0.8430,0.4812,0.4028,0.0007397,2128,,,
32,0.8318,0.3827,0.4048,0.8456,0.4788,0.3998,0.0007397,2195,,,
33,0.8273,0.4752,0.5230,0.8472,0.4767,0.3995,0.0007397,2260,,,
34,0.8365,0.5607,0.4251,0.8474,0.4710,0.3976,0.0007397,2320,,,
35,0.8454,0.4713,0.4572,0.8488,0.4690,0.3942,0.0007397,2384,,,
36,0.8457,0.3395,0.3622,0.8497,0.4655,0.3895,0.0007397,2448,,,
37,0.8538,0.2856,0.3145,0.8520,0.4643,0.3865,0.0007397,2513,,,
38,0.8499,0.3701,0.4069,0.8532,0.4624,0.3839,0.0007397,2577,,,
39,0.8419,0.2070,0.2377,0.8538,0.4599,0.3815,0.0007397,2643,,,
40,0.8444,0.3077,0.3194,0.8535,0.4624,0.3801,0.0007397,2723,0.8486,0.4788,0.3880
41,0.8451,0.2592,0.2677,0.8538,0.4620,0.3785,0.0006690,2787,,,
42,0.8539,0.2441,0.2787,0.8551,0.4641,0.3766,0.0006690,2851,,,
43,0.8548,0.4318,0.4618,0.8584,0.4610,0.3717,0.0006690,2916,,,
44,0.8513,0.6320,0.5105,0.8584,0.4573,0.3690,0.0006690,2982,,,
45,0.8514,0.3140,0.3444,0.8579,0.4541,0.3672,0.0006690,3049,,,
46,0.8563,0.4852,0.4710,0.8587,0.4520,0.3663,0.0006690,3115,,,
47,0.8512,0.2719,0.3428,0.8567,0.4489,0.3646,0.0006690,3180,,,
48,0.8629,0.5488,0.4383,0.8593,0.4480,0.3622,0.0006690,3244,,,
49,0.8553,0.5480,0.4073,0.8600,0.4458,0.3594,0.0006690,3308,,,
50,0.8599,0.3264,0.2694,0.8602,0.4447,0.3589,0.0006690,3389,0.8583,0.4629,0.3628
