epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.0022,0.0000,7809.5703,0.0000,0.0000,0.0000,0.0001000,347,,,
2,0.0022,0.0000,5312.0625,0.0000,0.0000,0.0000,0.0001000,769,,,
3,0.0028,0.0000,5442.0713,0.0000,0.0000,0.0000,0.0001000,1127,,,
4,0.0028,0.0000,5698.4463,0.0000,0.0000,0.0000,0.0001000,1471,,,
5,0.0024,0.0000,4980.0908,0.0000,0.0000,0.0000,0.0001000,1813,,,
6,0.0025,0.0000,4833.6050,0.0000,0.0000,0.0000,0.0001000,2155,,,
7,0.0037,0.0000,4774.2700,0.0000,0.0000,0.0000,0.0001000,2497,,,
8,0.0029,0.0000,4476.7148,0.0000,0.0000,0.0000,0.0001000,2839,,,
9,0.0028,0.0000,4725.9404,0.0000,0.0000,0.0000,0.0001000,3181,,,
10,0.0043,0.0000,4490.4141,0.0000,0.0000,0.0000,0.0001000,3523,0.0000,0.0000,0.0000
11,0.0044,0.0000,4471.2681,0.0000,0.0000,0.0000,0.0001000,3864,,,
12,0.0037,0.0000,4392.5020,0.0000,0.0000,0.0000,0.0001000,4205,,,
13,0.0037,0.0000,4412.5347,0.0000,0.0000,0.0000,0.0001000,4547,,,
14,0.0043,0.0000,4353.0410,0.0000,0.0000,0.0000,0.0001000,4888,,,
15,0.0039,0.0000,4571.6172,0.0000,0.0000,0.0000,0.0001000,5230,,,
16,0.0032,0.0000,4432.2920,0.0000,0.0000,0.0000,0.0001000,5571,,,
17,0.0039,0.0000,4401.8799,0.0000,0.0000,0.0000,0.0001000,5912,,,
18,0.0038,0.0000,4310.3672,0.0000,0.0000,0.0000,0.0001000,6254,,,
19,0.0047,0.0000,4184.7617,0.0000,0.0000,0.0000,0.0001000,6595,,,
20,0.0038,0.0000,4295.7754,0.0000,0.0000,0.0000,0.0001000,6938,0.0000,0.0000,0.0000
21,0.0044,0.0000,4234.3169,0.0000,0.0000,0.0000,0.0001000,7279,,,
22,0.0047,0.0000,4346.7627,0.0000,0.0000,0.0000,0.0001000,7621,,,
23,0.0044,0.0000,3874.8330,0.0000,0.0000,0.0000,0.0001000,7962,,,
24,0.0044,0.0000,4063.5461,0.0000,0.0000,0.0000,0.0001000,8303,,,
25,0.0032,0.0000,4308.4966,0.0000,0.0000,0.0000,0.0001000,8646,,,
26,0.0038,0.0000,4238.5957,0.0000,0.0000,0.0000,0.0001000,8987,,,
