epoch;training accuracy;training loss;training error;validation accuracy;validation loss;validation error;learning rate;time;test accuracy;test loss;test error
1;0.9384;0.16;0.1599;0.976;0.0725;0.073;0.001;389;;;
2;0.969;0.026;0.0452;0.9782;0.0662;0.0683;0.001;774;;;
3;0.9757;0.041;0.054;0.9796;0.0613;0.063;0.001;1157;;;
4;0.9786;0.0419;0.0564;0.9818;0.0551;0.0573;0.001;1562;;;
5;0.9811;0.0627;0.0449;0.983;0.0493;0.0519;0.001;1971;;;
6;0.9818;0.0686;0.0682;0.9848;0.0432;0.0461;0.001;2381;;;
7;0.9843;0.0417;0.0444;0.9868;0.0397;0.0423;0.001;2790;;;
8;0.985;0.0198;0.0312;0.987;0.0367;0.0388;0.001;3200;;;
9;0.9847;0.0044;0.0085;0.987;0.0339;0.0357;0.001;3606;;;
10;0.9863;0.0488;0.028;0.9878;0.0316;0.0327;0.001;4066;0.9962;0.0136;0.0118
11;0.9871;0.0147;0.0222;0.9898;0.0303;0.0306;0.0009044;4473;;;
12;0.9873;0.0243;0.0318;0.9904;0.0294;0.029;0.0009044;4880;;;
13;0.9885;0.017;0.0249;0.9906;0.0286;0.0283;0.0009044;5354;;;
14;0.9889;0.0254;0.0319;0.9908;0.0283;0.0274;0.0009044;5765;;;
15;0.9877;0.0267;0.0249;0.9906;0.0275;0.0267;0.0009044;6174;;;
16;0.9897;0.0346;0.0367;0.9906;0.0268;0.0259;0.0009044;6583;;;
17;0.9898;0.0203;0.0354;0.9908;0.0257;0.0248;0.0009044;6992;;;
18;0.9904;0.0089;0.0161;0.9912;0.0255;0.0245;0.0009044;7401;;;
19;0.9916;0.0916;0.037;0.9912;0.0251;0.0238;0.0009044;7811;;;
20;0.9917;0.0371;0.0257;0.9908;0.0255;0.0237;0.0009044;8274;0.9966;0.0117;0.0093
;;;;;;;;;;;
;;;;;;;;;;;
;"Image mX4 FThreadNN[0].DebugWeights(); skipped...";;;;;;;;;;
;Starting Testing.;;;;;;;;;;
;Epochs: 20 Examples seen:1200000 Test Accuracy: 0.9966 Test Error: 0.0093 Test Loss: 0.0117 Total time: 137.90min;;;;;;;;;;
;Epoch time: 5.9000 minutes. 20 epochs: 2.0000 hours.;;;;;;;;;;
;Epochs: 20. Working time: 2.30 hours.;;;;;;;;;;
;CAI maXbox Neural Fit Finished.;;;;;;;;;;
;mnist classifier done...;;;;;;;;;;
; mX4 executed: 19/11/2021 16:43:30  Runtime: 2:18:1.308  Memload: 46% use;;;;;;;;;;
